,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,0.098225,0.1129,0.0918,0.0946,639440.36,0
1,2021-10-21,0.1131,0.1222,0.09405,0.098225,569672.47,0
2,2021-10-20,0.1052,0.12235,0.092075,0.1131,486415.56,0
3,2021-10-19,0.081975,0.107225,0.078475,0.1064,762549.88,0
4,2021-10-18,0.0869,0.088775,0.076,0.08145,363603.72,0
5,2021-10-17,0.0934,0.102425,0.077375,0.08665,810888.76,0
6,2021-10-16,0.092675,0.1065,0.0918,0.09365,678277.97,0
7,2021-10-15,0.100575,0.1034,0.086875,0.09265,513790.39,0
8,2021-10-14,0.10835,0.1184,0.097975,0.0999,394103.68,0
9,2021-10-13,0.098275,0.110925,0.08365,0.1088,743870.8,0
10,2021-10-12,0.087275,0.105125,0.071,0.0988,1175302.55,0
11,2021-10-11,0.091725,0.1069,0.07955,0.0875,436655.15,0
12,2021-10-10,0.12055,0.1206,0.08825,0.09235,543792.45,0
13,2021-10-09,0.11755,0.12955,0.1157,0.12065,158388.23,0
14,2021-10-08,0.1392,0.1392,0.1171,0.11845,398261.8,0
15,2021-10-07,0.1236,0.15095,0.109,0.1383,713324.43,0
16,2021-10-06,0.143,0.144,0.09875,0.12375,931247.9,0
17,2021-10-05,0.1446,0.16055,0.12835,0.14235,581474.01,0
18,2021-10-04,0.17035,0.17035,0.1366,0.1423,510888.1,0
19,2021-10-03,0.17015,0.19645,0.1601,0.17065,582975.2,0
20,2021-10-02,0.1597,0.2071,0.152,0.17095,526057.99,0
21,2021-10-01,0.1409,0.168,0.1255,0.161,753244.32,0
22,2021-09-30,0.1168,0.14155,0.1131,0.1403,794451.6,0
23,2021-09-29,0.11515,0.14485,0.1062,0.1175,659946.51,0
24,2021-09-28,0.1614,0.16955,0.11225,0.1135,1926617.31,0
25,2021-09-27,0.2021,0.21545,0.15375,0.1624,743341.14,0
26,2021-09-26,0.2133,0.2283,0.1464,0.1978,1274749.59,0
27,2021-09-25,0.2765,0.2825,0.2022,0.2133,1099841.59,0
28,2021-09-24,0.2827,0.3043,0.1769,0.279,1953068.46,0
29,2021-09-23,0.2499,0.3169,0.2336,0.284,1440698.73,0
30,2021-09-22,0.1309,0.2532,0.11815,0.2532,1141860.58,0
31,2021-09-21,0.19315,0.24755,0.1143,0.1309,1469911.71,0
32,2021-09-20,0.482,0.482,0.1844,0.1896,1657485.52,0
33,2021-09-19,0.399,0.4826,0.3378,0.4803,703898.79,0
34,2021-09-18,0.244,0.4146,0.2282,0.4028,1212836.42,0
35,2021-09-17,0.3571,0.3803,0.2245,0.244,1044707.85,0
36,2021-09-16,0.282,0.3522,0.2149,0.3496,832439.11,0
37,2021-09-15,0.285,0.3137,0.2467,0.2847,418537.34,0
38,2021-09-14,0.3172,0.3548,0.2604,0.2845,743331.58,0
39,2021-09-13,0.3068,0.3738,0.2147,0.3142,2158939.6,0
40,2021-09-12,0.1957,0.31,0.1773,0.3075,610687.53,0
41,2021-09-11,0.22765,0.2496,0.1893,0.1949,725362.33,0
42,2021-09-10,0.19148671,0.24065,0.15925,0.2259,1263020.52,0
43,2021-09-09,0.12380266,0.21375358,0.09979905,0.19328623,1614539.94,0
44,2021-09-08,0.11525163,0.13007029,0.07505541,0.10289266,459964.82,0
