,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,3.63661597024e-09,4.03173073037e-09,3.63060776825e-09,3.89026052964e-09,20272.27,0
1,2021-10-21,4.08750169438e-09,4.11556163447e-09,3.58924828726e-09,3.64109385158e-09,17076.41,0
2,2021-10-20,4.04172996446e-09,4.20870951324e-09,3.99222180347e-09,4.08387396814e-09,23031.56,0
3,2021-10-19,4.18219966656e-09,4.24626999119e-09,4.00824645886e-09,4.04005212831e-09,23431.85,0
4,2021-10-18,4.23135253652e-09,4.27158522046e-09,4.10753934997e-09,4.18020038749e-09,14332.31,0
5,2021-10-17,4.41434786298e-09,4.41476836753e-09,4.11065577331e-09,4.23178788605e-09,19211.28,0
6,2021-10-16,4.79346472495e-09,4.86024956568e-09,4.38175061599e-09,4.41936239867e-09,35454.61,0
7,2021-10-15,5.05413128765e-09,5.09630314829e-09,4.76412636491e-09,4.79566129372e-09,46778.7,0
8,2021-10-14,4.79303095944e-09,5.29034435536e-09,4.74666852649e-09,5.0532384186e-09,58724.36,0
9,2021-10-13,4.0520026664e-09,4.9410392152e-09,4.01991128969e-09,4.79032595659e-09,56385.9,0
10,2021-10-12,3.59782845865e-09,4.04876278012e-09,3.41724531262e-09,4.04634984961e-09,47155.42,0
11,2021-10-11,3.69695204998e-09,4.01919927563e-09,3.53537747086e-09,3.60164135977e-09,55106.21,0
12,2021-10-10,4.15454331163e-09,4.20307520864e-09,3.6923800253e-09,3.70196596186e-09,147213.18,0
13,2021-10-09,7.01077695366e-09,7.05242815765e-09,4.02138550735e-09,4.15343531837e-09,527318.01,0
14,2021-10-08,5.88600534178e-09,1.200326314245e-08,5.42380137471e-09,7.0094694084e-09,603642.87,0
