,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,3.86626136745825e-06,4.07112632649984e-06,1.59732321427319e-06,2.8941963255777e-06,216372.77,0
1,2021-10-21,5.40995220423657e-06,6.44725906419917e-06,3.68335316679294e-06,3.87008665997548e-06,375985.69,0
2,2021-10-20,3.23382616859078e-06,7.20801468766644e-06,1.7597220878735e-06,5.40590715576226e-06,1384892.16,0
3,2021-10-19,5.630648144334e-07,4.32868745633308e-06,5.4997651649239e-07,3.23072119201827e-06,522308.03,0
4,2021-10-18,4.5760123201243e-07,5.8753380399336e-07,4.3621506380727e-07,5.630857418639e-07,7220.01,0
5,2021-10-17,4.8857473848396e-07,5.6395736042388e-07,4.5462103111513e-07,4.5755299430044e-07,8087.0,0
6,2021-10-16,5.3225460667401e-07,5.3977358657106e-07,4.6874192130715e-07,4.8829069111785e-07,7046.54,0
7,2021-10-15,5.4077244480479e-07,5.5226257934641e-07,5.0441663910896e-07,5.323248310221e-07,3660.86,0
8,2021-10-14,4.7631617104094e-07,5.4670734660874e-07,4.7617003379411e-07,5.4052710072241e-07,7104.03,0
9,2021-10-13,4.1432034800435e-07,5.0225042634953e-07,4.0911850565223e-07,4.7617401243165e-07,3841.6,0
10,2021-10-12,4.4516867657106e-07,4.4536528365657e-07,4.0204992211796e-07,4.141677880259e-07,1804.79,0
11,2021-10-11,5.5854081214631e-07,6.2225043936645e-07,3.3301449643731e-07,4.4491543288945e-07,20552.74,0
12,2021-10-10,4.7831981320307e-07,6.9919992298621e-07,4.554020267987e-07,5.5834051503858e-07,23799.94,0
13,2021-10-09,4.6459654969602e-07,5.0023358633552e-07,4.2983110695434e-07,4.7813052898363e-07,2547.31,0
14,2021-10-08,3.9009356663675e-07,5.145753090905e-07,3.8175884801758e-07,4.647813378148e-07,4683.44,0
15,2021-10-07,3.8558400018533e-07,4.1196473976877e-07,3.2955909473947e-07,3.8981174813789e-07,5729.34,0
16,2021-10-06,3.0850660904256e-07,3.8988112017105e-07,2.9642220897789e-07,3.855409910842e-07,12354.47,0
17,2021-10-05,4.4691785706652e-07,4.4691785706652e-07,2.9051759163289e-07,3.0845842460189e-07,6972.64,0
18,2021-10-04,4.9910478317557e-07,4.9918662878342e-07,4.4432985100692e-07,4.4645256110479e-07,1196.57,0
19,2021-10-03,5.3848154591128e-07,5.625042479746e-07,4.7045438674022e-07,4.9928787437411e-07,5780.2,0
20,2021-10-02,6.4321597707168e-07,6.7962590020174e-07,5.3590317550434e-07,5.3814701143622e-07,4236.42,0
21,2021-10-01,4.1909219064969e-07,6.4622414299453e-07,4.1908901617552e-07,6.4318126851533e-07,5465.68,0
22,2021-09-30,3.6295684821294e-07,4.2255693026583e-07,3.5937150178405e-07,4.1910238014913e-07,3703.09,0
23,2021-09-29,3.5147883111478e-07,3.8382237739945e-07,3.5135690846315e-07,3.657111892154e-07,498.42,0
24,2021-09-28,5.2615014e-07,5.3048078e-07,3.5146053510759e-07,3.5146053510759e-07,6436.43,0
25,2021-09-27,4.9757143e-07,5.4829057e-07,4.9041714e-07,5.2586143e-07,1777.93,0
26,2021-09-26,5.2137321e-07,5.2254317e-07,4.6618779e-07,4.9742438e-07,755.73,0
27,2021-09-25,4.8702507e-07,5.5470397e-07,4.8702507e-07,5.2139746e-07,1095.4,0
28,2021-09-24,6.478287e-07,6.5173282e-07,4.594919e-07,4.8676927e-07,4614.69,0
29,2021-09-23,5.6638298e-07,6.5709098e-07,5.5875977e-07,6.4771087e-07,4780.34,0
30,2021-09-22,3.788009e-07,5.7378115e-07,3.788009e-07,5.6638298e-07,10421.04,0
31,2021-09-21,5.7075996e-07,5.9036616e-07,3.7206648e-07,3.7838018e-07,16805.27,0
32,2021-09-20,6.3438284e-07,6.3438284e-07,5.4755712e-07,5.6946942e-07,18422.96,0
