,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,1.5644332028722e-07,1.5650945247416e-07,1.5637389781955e-07,1.5642414e-07,0.0,0
1,2021-10-21,1.7025871135619e-07,1.7030351841785e-07,1.5634738072547e-07,1.5644328227663e-07,13578.84,0
2,2021-10-20,1.7135846615457e-07,1.7145651276743e-07,1.702156444777e-07,1.7027140235619e-07,1013.46,0
3,2021-10-19,1.720843e-07,1.7217587e-07,1.7128362523803e-07,1.7135653593703e-07,710.34,0
4,2021-10-18,1.7212911e-07,1.7217869e-07,1.7196856e-07,1.7208951e-07,0.0,0
5,2021-10-17,1.7208796e-07,1.7219222e-07,1.7199024e-07,1.7212915e-07,0.0,0
6,2021-10-16,1.719350551923e-07,1.7211141e-07,1.7191333466139e-07,1.7209155e-07,0.0,0
7,2021-10-15,1.7375449e-07,1.7376449e-07,1.719031905121e-07,1.7193311385112e-07,1588.15,0
8,2021-10-14,1.7376534e-07,1.7380026e-07,1.7369345e-07,1.7375554e-07,0.0,0
9,2021-10-13,1.7376529e-07,1.7388002e-07,1.7365903e-07,1.7377179e-07,0.0,0
10,2021-10-12,1.7386939e-07,1.7392791e-07,1.7374495e-07,1.7374495e-07,0.0,0
11,2021-10-11,1.7392533e-07,1.7394751e-07,1.7371862e-07,1.7385688e-07,0.0,0
12,2021-10-10,1.7375658982457e-07,1.7394411e-07,1.7365569e-07,1.7390843e-07,0.0,0
13,2021-10-09,1.7483697581576e-07,1.7488836e-07,1.7375025016049e-07,1.7377584597745e-07,1014.28,0
14,2021-10-08,1.775880217131e-07,1.7759822794014e-07,1.7477996729795e-07,1.7482682759866e-07,2554.51,0
15,2021-10-07,1.7887224729662e-07,1.7902116843973e-07,1.7744244868065e-07,1.7758377578209e-07,1215.67,0
16,2021-10-06,1.7959583e-07,1.7965969e-07,1.7869824669275e-07,1.7889054625039e-07,656.96,0
17,2021-10-05,1.7948781e-07,1.7970348e-07,1.7942456e-07,1.79602e-07,0.0,0
18,2021-10-04,1.7955299e-07,1.7962182e-07,1.7940767e-07,1.7949445e-07,0.0,0
19,2021-10-03,1.7956785e-07,1.7962648e-07,1.794671e-07,1.7956242e-07,0.0,0
20,2021-10-02,1.7954884e-07,1.7961643e-07,1.7951737e-07,1.7959429e-07,0.0,0
21,2021-10-01,1.795446742733e-07,1.7959117e-07,1.7948010306862e-07,1.7953511e-07,0.0,0
22,2021-09-30,1.8150916e-07,1.8152735e-07,1.7943387918304e-07,1.7954747767982e-07,1811.33,0
23,2021-09-29,1.8151214679778e-07,1.8157648e-07,1.8141181e-07,1.8151583e-07,0.0,0
24,2021-09-28,1.8258469e-07,1.8261226e-07,1.81474171566e-07,1.8152738162388e-07,960.15,0
25,2021-09-27,1.8268579e-07,1.8280088e-07,1.8247415e-07,1.8258452e-07,57.94,0
26,2021-09-26,1.8273393e-07,1.828003e-07,1.8263018e-07,1.8269065e-07,0.0,0
27,2021-09-25,1.8270321e-07,1.8285969e-07,1.8262148e-07,1.8273255e-07,0.0,0
28,2021-09-24,1.8343549e-07,1.8358526e-07,1.8259768e-07,1.8270655e-07,731.73,0
29,2021-09-23,1.8706204e-07,1.8730824e-07,1.8332604e-07,1.8344271e-07,3420.91,0
30,2021-09-22,1.8783401e-07,1.8784888e-07,1.870459e-07,1.8706492e-07,698.41,0
31,2021-09-21,1.916465e-07,1.9167565e-07,1.8778577e-07,1.8783329e-07,3499.07,0
32,2021-09-20,1.9242009e-07,1.9243825e-07,1.9162696e-07,1.9167262e-07,608.36,0
33,2021-09-19,1.9223371e-07,1.9268854e-07,1.9198639e-07,1.923984e-07,0.0,0
34,2021-09-18,1.9226751e-07,1.9253324e-07,1.9216042e-07,1.9224014e-07,0.0,0
35,2021-09-17,1.9242183e-07,1.9253476e-07,1.9224598e-07,1.9226125e-07,0.0,0
36,2021-09-16,1.9242358e-07,1.9246722e-07,1.9235748e-07,1.9240063e-07,0.0,0
37,2021-09-15,1.9262476e-07,1.9269435e-07,1.9238782e-07,1.9239845e-07,178.01,0
38,2021-09-14,1.9257737e-07,1.9275271e-07,1.9255342e-07,1.9263933e-07,0.0,0
39,2021-09-13,1.9e-07,1.9267291e-07,1.9e-07,1.9259986e-07,0.0,0
40,2021-09-12,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.0,0
41,2021-09-11,1.9e-07,1.9e-07,1.9e-07,1.9e-07,1281.4,0
42,2021-09-10,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.0,0
43,2021-09-09,1.9e-07,2e-07,1.9e-07,1.9e-07,2458.9,0
44,2021-09-08,2e-07,2e-07,2e-07,2e-07,0.0,0
45,2021-09-07,2e-07,2e-07,2e-07,2e-07,0.0,0
46,2021-09-06,2e-07,2e-07,2e-07,2e-07,0.0,0
47,2021-09-05,2e-07,2e-07,2e-07,2e-07,661.54,0
48,2021-09-04,2e-07,2e-07,2e-07,2e-07,272.96,0
49,2021-09-03,2e-07,2e-07,2e-07,2e-07,0.0,0
50,2021-09-02,2e-07,2e-07,2e-07,2e-07,0.0,0
51,2021-09-01,2e-07,2e-07,2e-07,2e-07,495.33,0
52,2021-08-31,2e-07,2e-07,2e-07,2e-07,2185.89,0
53,2021-08-30,2.1e-07,2.1e-07,2e-07,2e-07,13391.48,0
54,2021-08-29,2.1e-07,2.1e-07,2.1e-07,2.1e-07,0.0,0
55,2021-08-28,2.2e-07,2.2e-07,2.1e-07,2.1e-07,7012.77,0
56,2021-08-27,2.2e-07,2.2e-07,2.2e-07,2.2e-07,0.0,0
57,2021-08-26,2.2e-07,2.2e-07,2.2e-07,2.2e-07,0.0,0
58,2021-08-25,2.2e-07,2.2e-07,2.2e-07,2.2e-07,0.0,0
59,2021-08-24,2.2e-07,2.2e-07,2.2e-07,2.2e-07,0.0,0
60,2021-08-23,2.3e-07,2.3e-07,2.2e-07,2.2e-07,7035.77,0
61,2021-08-22,2.3e-07,2.3e-07,2.3e-07,2.3e-07,373.0,0
62,2021-08-21,2.3e-07,2.3e-07,2.3e-07,2.3e-07,349.72,0
63,2021-08-20,2.3e-07,2.3e-07,2.3e-07,2.3e-07,27.65,0
64,2021-08-19,2.3e-07,2.3e-07,2.3e-07,2.3e-07,1231.52,0
65,2021-08-18,2.3e-07,2.3e-07,2.3e-07,2.3e-07,911.22,0
66,2021-08-17,2.3e-07,2.3e-07,2.3e-07,2.3e-07,79.63,0
67,2021-08-16,2.3e-07,2.3e-07,2.3e-07,2.3e-07,6.56,0
68,2021-08-15,2.3e-07,2.3e-07,2.3e-07,2.3e-07,31.53,0
69,2021-08-14,2.3e-07,2.3e-07,2.3e-07,2.3e-07,0.0,0
70,2021-08-13,2.3e-07,2.3e-07,2.3e-07,2.3e-07,0.0,0
71,2021-08-12,2.3e-07,2.3e-07,2.3e-07,2.3e-07,0.0,0
72,2021-08-11,2.3e-07,2.3e-07,2.3e-07,2.3e-07,0.0,0
73,2021-08-10,2.4e-07,2.4e-07,2.3e-07,2.3e-07,4519.89,0
74,2021-08-09,2.4e-07,2.4e-07,2.4e-07,2.4e-07,0.0,0
75,2021-08-08,2.4e-07,2.4e-07,2.4e-07,2.4e-07,271.14,0
76,2021-08-07,2.4e-07,2.4e-07,2.4e-07,2.4e-07,91.68,0
77,2021-08-06,2.4e-07,2.4e-07,2.4e-07,2.4e-07,139.82,0
78,2021-08-05,2.4e-07,2.4e-07,2.4e-07,2.4e-07,0.0,0
79,2021-08-04,2.4e-07,2.4e-07,2.4e-07,2.4e-07,28.08,0
80,2021-08-03,2.4e-07,2.4e-07,2.4e-07,2.4e-07,0.0,0
81,2021-08-02,2.4e-07,2.4e-07,2.4e-07,2.4e-07,847.64,0
82,2021-08-01,2.6e-07,2.6e-07,2.4e-07,2.4e-07,14201.91,0
83,2021-07-31,2.6e-07,2.6e-07,2.6e-07,2.6e-07,1595.55,0
84,2021-07-30,2.6e-07,2.6e-07,2.6e-07,2.6e-07,688.44,0
85,2021-07-29,2.6e-07,2.6e-07,2.6e-07,2.6e-07,2.33,0
86,2021-07-28,2.6e-07,2.6e-07,2.6e-07,2.6e-07,1340.72,0
87,2021-07-27,2.6e-07,2.6e-07,2.6e-07,2.6e-07,150.43,0
88,2021-07-26,2.6e-07,2.6e-07,2.6e-07,2.6e-07,46.69,0
89,2021-07-25,2.6e-07,2.6e-07,2.6e-07,2.6e-07,729.8,0
90,2021-07-24,2.7e-07,2.7e-07,2.6e-07,2.6e-07,4192.22,0
91,2021-07-23,2.7e-07,2.7e-07,2.7e-07,2.7e-07,1321.23,0
92,2021-07-22,2.7e-07,2.7e-07,2.7e-07,2.7e-07,2229.47,0
93,2021-07-21,2.8e-07,2.8e-07,2.7e-07,2.7e-07,13820.15,0
