,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,4.75400667076632e-06,5.20156673152856e-06,4.74974193893214e-06,5.19929313794576e-06,47513.55,0
1,2021-10-21,4.76411579031212e-06,4.76862392023502e-06,4.69654893576605e-06,4.75400551569892e-06,62094.29,0
2,2021-10-20,4.75935482293777e-06,4.76915400913235e-06,4.7496529620313e-06,4.76375594953993e-06,60187.76,0
3,2021-10-19,4.75629088388613e-06,4.77117761444605e-06,4.75074581486599e-06,4.75930121257139e-06,51142.42,0
4,2021-10-18,4.76333106996315e-06,4.76895992895422e-06,4.71204116253577e-06,4.75643493284791e-06,69291.62,0
5,2021-10-17,4.73569123979014e-06,4.76503443983295e-06,4.70124907329653e-06,4.76333217773478e-06,71033.67,0
6,2021-10-16,4.75116675832179e-06,4.76733479277465e-06,4.71746985642533e-06,4.73578993261978e-06,69343.03,0
7,2021-10-15,4.18134315307356e-06,4.97274335212367e-06,4.14525787482726e-06,4.75111311227687e-06,73520.79,0
8,2021-10-14,4.28941477720979e-06,4.29837518298998e-06,4.12792758562762e-06,4.1813683908724e-06,68891.99,0
9,2021-10-13,4.4421281760545e-06,4.5049976496242e-06,4.23752495932313e-06,4.28957395319477e-06,69678.51,0
10,2021-10-12,4.86257983654531e-06,4.87811900494292e-06,4.0176641571587e-06,4.44160827519462e-06,64433.96,0
11,2021-10-11,4.86304322063163e-06,4.8832563497857e-06,4.81747937276338e-06,4.86222999313773e-06,57501.27,0
12,2021-10-10,4.81962328431948e-06,4.88730152880816e-06,4.81132500284963e-06,4.86257069343071e-06,56410.31,0
13,2021-10-09,4.44401715121352e-06,4.83849463738555e-06,4.03381147500483e-06,4.82015740738713e-06,63782.81,0
14,2021-10-08,4.54250180637188e-06,4.58409089600876e-06,4.26022188171418e-06,4.44375920319859e-06,71187.39,0
15,2021-10-07,4.6876835006234e-06,4.76258638286079e-06,4.48866242885363e-06,4.54239320023343e-06,59736.47,0
16,2021-10-06,4.33710588789056e-06,5.43292050323096e-06,3.43564828701554e-06,4.68816305910692e-06,72313.7,0
17,2021-10-05,5.89104505405286e-06,5.89310716670817e-06,3.84767360164094e-06,4.33725495871945e-06,60767.36,0
18,2021-10-04,6.20094589629879e-06,6.42660218606306e-06,4.62045005927624e-06,5.89126268988571e-06,77144.97,0
19,2021-10-03,6.73981207503524e-06,6.82150006824885e-06,4.59517091986006e-06,6.20127156014845e-06,78053.83,0
20,2021-10-02,5.07810308658936e-06,6.86613593037155e-06,4.72737788464771e-06,6.74080418376629e-06,83707.01,0
21,2021-10-01,4.77093776412764e-06,7.92302047413069e-06,4.74400842332483e-06,5.07771487811012e-06,51163.45,0
22,2021-09-30,5.55696503967172e-06,7.99218604742311e-06,3.96655423234187e-06,4.77101225744295e-06,60170.23,0
23,2021-09-29,6.99018369777153e-06,1.342832212302222e-05,4.45965766565259e-06,5.55716932064863e-06,45296.49,0
24,2021-09-28,3.21515198957216e-06,1.343200628497982e-05,3.21146613682964e-06,6.99077040359229e-06,129327.06,0
