,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,4.062259275767306e-05,4.702054026858521e-05,4.008842129494022e-05,4.381326174253035e-05,27753.12,4052726.72
1,2021-10-21,5.217288175862245e-05,6.53998278850392e-05,4.063428385728513e-05,4.066593153922399e-05,27299.16,3761598.67
2,2021-10-20,4.939569748626448e-05,5.225419771753329e-05,4.81325179258759e-05,5.225419771753329e-05,17555.74,4833513.29
3,2021-10-19,5.016497088009225e-05,5.081214044464675e-05,4.799097928012743e-05,4.962171588390294e-05,18035.9,4590008.72
4,2021-10-18,4.985520147138105e-05,5.075368923413089e-05,4.523349815215477e-05,5.016128417109177e-05,19893.81,4639918.79
5,2021-10-17,5.219987596807499e-05,5.360086978294366e-05,4.79800368341136e-05,4.980929016012265e-05,5942.11,4607359.34
6,2021-10-16,5.471651458163647e-05,5.519512311966942e-05,4.748219478107888e-05,5.220121842973457e-05,11602.91,4828612.71
7,2021-10-15,4.883958176006172e-05,5.548475462364043e-05,4.847873673276754e-05,5.464445131618413e-05,42901.3,5054611.75
8,2021-10-14,4.832310117511121e-05,4.970172184715011e-05,4.739163264238376e-05,4.886148771415315e-05,26905.73,4519687.62
9,2021-10-13,5.120099449369491e-05,5.153130137464843e-05,4.506852970891154e-05,4.829869958658396e-05,60259.93,4467629.72
10,2021-10-12,5.288294411109565e-05,5.292721861805352e-05,5.060364785224847e-05,5.11874394274552e-05,41309.22,4734838.15
11,2021-10-11,4.847659494582427e-05,5.540575190130612e-05,4.818384447394213e-05,5.291678578345706e-05,23508.47,4894802.69
12,2021-10-10,4.195650244157438e-05,5.049363013374689e-05,4.127489541098502e-05,4.852136161494677e-05,73563.98,4488225.95
13,2021-10-09,4.959252261998366e-05,5.032135792569367e-05,4.186761382047205e-05,4.200366337871167e-05,56320.47,3885338.87
14,2021-10-08,5.334634533190141e-05,5.548995121721967e-05,4.849693346419829e-05,4.960880626039266e-05,22390.71,4588814.58
15,2021-10-07,5.643068978828666e-05,6.125703716552802e-05,4.918861747870212e-05,5.341158463246045e-05,45490.75,4940571.58
16,2021-10-06,3.934615427989411e-05,6.27102120533132e-05,3.848070638778008e-05,5.639680967240057e-05,53860.32,5216704.9
17,2021-10-05,4.122138520339967e-05,4.139348889447567e-05,3.76359845587436e-05,3.941073983395943e-05,45423.19,3645493.44
18,2021-10-04,4.339365255553414e-05,4.352282532599712e-05,4.101705366522472e-05,4.121303647475889e-05,82903.08,3812205.88
19,2021-10-03,4.319122473183803e-05,4.361011836584385e-05,4.212345816308054e-05,4.337466548312985e-05,44950.32,4012156.56
20,2021-10-02,3.92544518283475e-05,4.385482209253013e-05,3.900388203913432e-05,4.325358769305663e-05,26683.38,4000956.87
21,2021-10-01,3.726905410073989e-05,3.95518855798846e-05,3.665473981438356e-05,3.925352987369263e-05,61353.09,3630951.52
22,2021-09-30,3.809546337775927e-05,4.054129088917328e-05,3.006257621929679e-05,3.726871546622139e-05,110618.59,3447356.19
23,2021-09-29,3.425765259708131e-05,4.25366491231202e-05,3.424151039295865e-05,3.81385111398599e-05,29067.27,3527812.29
24,2021-09-28,2.990056289e-05,3.670941635e-05,2.726491561e-05,3.430100975953058e-05,37857.0,3172843.41
25,2021-09-27,3.148798149e-05,3.262233714e-05,2.948656417e-05,2.989870317e-05,24747.47,2765630.05
26,2021-09-26,3.065924863e-05,5.167012114e-05,2.452227808e-05,3.150621679e-05,104859.5,2914325.06
27,2021-09-25,2.413486524e-05,3.078173858e-05,2.174001131e-05,3.06650846e-05,25588.67,2836520.33
28,2021-09-24,2.843580388e-05,2.850595833e-05,2.30984536e-05,2.412687721e-05,26758.65,2231736.15
29,2021-09-23,2.746000186e-05,3.391282777e-05,2.300733727e-05,2.843261899e-05,51978.12,2630017.26
30,2021-09-22,1.937234803e-05,4.130201072e-05,1.547584825e-05,2.744293688e-05,90909.98,2538471.67
31,2021-09-21,1.745806168e-05,1.995303667e-05,1.498788152e-05,1.93721319e-05,48060.42,1791922.21
32,2021-09-20,2.145913233e-05,2.270294251e-05,1.740145911e-05,1.748300468e-05,26386.86,1617177.94
33,2021-09-19,2.615368056e-05,2.627325387e-05,1.980666407e-05,2.146079299e-05,42686.26,1985123.36
34,2021-09-18,2.458716381e-05,2.670685005e-05,2.441168797e-05,2.614125875e-05,25135.85,2418066.44
35,2021-09-17,2.774851982e-05,2.865362133e-05,2.132151116e-05,2.457147708e-05,33375.21,2272861.63
36,2021-09-16,2.638903151e-05,3.132208673e-05,2.507315123e-05,2.776959264e-05,51079.27,2568687.32
37,2021-09-15,2.660874478e-05,2.766096141e-05,2.40754976e-05,2.637965371e-05,58190.13,2440117.97
38,2021-09-14,3.384077119e-05,3.542489608e-05,2.320003179e-05,2.660154981e-05,78694.24,2460643.36
39,2021-09-13,2.422e-05,3.461864106e-05,2.346e-05,3.385064402e-05,128297.36,3131184.58
40,2021-09-12,2.256e-05,2.829e-05,2.139e-05,2.422e-05,29251.97,2240609.3
41,2021-09-11,2.348e-05,2.81e-05,2.144e-05,2.255e-05,24018.28,2086102.34
42,2021-09-10,2.421e-05,2.816e-05,2.322e-05,2.348e-05,42821.47,2171553.66
43,2021-09-09,2.555e-05,3.452e-05,1.493e-05,2.421e-05,36640.59,2239714.27
44,2021-09-08,2.844e-05,3.444e-05,1.904e-05,2.202e-05,24229.01,2036432.19
45,2021-09-07,3.693e-05,3.788e-05,2.603e-05,2.845e-05,60713.08,2631575.78
46,2021-09-06,2.82e-05,3.816e-05,2.782e-05,3.695e-05,68351.48,3417442.79
47,2021-09-05,3.616e-05,3.902e-05,2.799e-05,2.82e-05,45814.28,2608361.11
48,2021-09-04,2.899e-05,3.94e-05,2.789e-05,3.614e-05,14064.52,3342533.9
49,2021-09-03,3.221e-05,3.58e-05,2.864e-05,2.9e-05,49386.73,2682074.22
50,2021-09-02,3.345e-05,3.812e-05,3.218e-05,3.222e-05,43854.08,2980163.78
51,2021-09-01,3.498e-05,3.775e-05,3.305e-05,3.342e-05,43880.18,3091016.15
52,2021-08-31,3.406e-05,3.527e-05,3.311e-05,3.492e-05,47546.75,3230322.33
53,2021-08-30,3.501e-05,3.559e-05,3.33e-05,3.407e-05,52380.47,3151474.11
54,2021-08-29,3.147e-05,3.979e-05,2.926e-05,3.504e-05,52650.77,3241279.13
55,2021-08-28,3.331e-05,3.687e-05,3.126e-05,3.147e-05,20238.51,2910905.15
56,2021-08-27,2.705e-05,3.344e-05,2.666e-05,3.331e-05,31634.13,3080822.59
57,2021-08-26,2.786e-05,2.939e-05,2.615e-05,2.7e-05,37270.34,2497696.55
58,2021-08-25,3.706e-05,3.72e-05,2.677e-05,2.784e-05,51538.61,2574940.1
59,2021-08-24,2.897e-05,3.754e-05,2.863e-05,3.707e-05,38626.14,3428517.95
60,2021-08-23,3.363e-05,3.527e-05,2.896e-05,2.897e-05,43559.01,2679682.9
