,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,3.025165237861525e-05,3.420626489117662e-05,3.024634450559301e-05,3.306276958215217e-05,39.05,8238.63
1,2021-10-21,3.874200398181488e-05,5.707792857805634e-05,3.024368999747581e-05,3.025273025064002e-05,150.24,7538.42
2,2021-10-20,3.825788302738798e-05,3.901321989715874e-05,3.808346237529362e-05,3.874279136050498e-05,57.29,9653.99
3,2021-10-19,4.086882067589143e-05,4.093489317069138e-05,3.657648271937154e-05,3.825563063036384e-05,56.59,9532.6
4,2021-10-18,4.715464074494032e-05,4.739816222283654e-05,4.02883584221836e-05,4.08694860467748e-05,47.76,10183.92
5,2021-10-17,5.634314962148837e-05,5.637741349994853e-05,4.657143563482395e-05,4.715898873319457e-05,40.61,11751.15
6,2021-10-16,5.497142540992079e-05,6.000201035599836e-05,5.492150044486715e-05,5.634376301540102e-05,91.07,14039.83
7,2021-10-15,3.317088627145648e-05,5.593910239218948e-05,3.312670349339722e-05,5.497522697732294e-05,59.02,13698.81
8,2021-10-14,3.701711199683894e-05,3.721102419492646e-05,3.315538070340602e-05,3.317203744961546e-05,167.3,8265.86
9,2021-10-13,3.833355131133692e-05,6.483063356700114e-05,3.48427579750527e-05,3.702044129268498e-05,148.29,9224.81
10,2021-10-12,3.915367090084555e-05,3.923253012840861e-05,3.745803393524829e-05,3.83450215818059e-05,48.81,9554.87
11,2021-10-11,3.754343978079778e-05,3.93272074819991e-05,3.740706093731115e-05,3.914098783562705e-05,49.76,9753.21
12,2021-10-10,3.764262650787377e-05,3.842626618914566e-05,3.726279602101462e-05,3.756339938205698e-05,47.98,9360.11
13,2021-10-09,3.605714846339624e-05,3.817397014165327e-05,3.599311475646988e-05,3.763855908312802e-05,48.07,9378.84
14,2021-10-08,3.601745420949344e-05,3.661352310419885e-05,3.598060633434755e-05,3.605211884004136e-05,92.96,8983.52
15,2021-10-07,5.558609886210849e-05,5.558609886210849e-05,3.593171520173386e-05,3.601626966703394e-05,92.88,8974.59
16,2021-10-06,4.535768040221863e-05,5.576722867136514e-05,4.505205670858681e-05,5.561691321692765e-05,21.65,13858.71
17,2021-10-05,4.463170274773188e-05,4.543929952243704e-05,4.462308876369518e-05,4.535152148566523e-05,58.94,11300.76
18,2021-10-04,4.42831387195525e-05,4.473890295880251e-05,4.404770874733374e-05,4.463208357874392e-05,58.24,11121.49
19,2021-10-03,4.539462605571785e-05,4.548297393373838e-05,4.414866508516655e-05,4.428309371143071e-05,60.25,11034.53
20,2021-10-02,4.859558633784851e-05,4.866085809306845e-05,4.535717621010464e-05,4.540624691347547e-05,39.83,11314.4
21,2021-10-01,4.539532783463588e-05,4.883981661996367e-05,4.506226640523129e-05,4.861323564439301e-05,37.64,12113.52
22,2021-09-30,4.323738028455185e-05,4.560729008058586e-05,4.315991004862264e-05,4.538674881872139e-05,35.5,11309.54
23,2021-09-29,3.881374488377377e-05,4.440569022011971e-05,3.867818851980934e-05,4.321768745815681e-05,36.33,10769.05
24,2021-09-28,4.225020474e-05,4.484281546e-05,3.862232125038022e-05,3.877678774523998e-05,38.88,9662.46
25,2021-09-27,4.310189706e-05,4.410316796e-05,4.221041238e-05,4.225041371e-05,28.42,10528.02
26,2021-09-26,4.312145341e-05,4.374635921e-05,4.100703481e-05,4.312613278e-05,28.91,10746.24
27,2021-09-25,4.559986392e-05,4.573222223e-05,4.286580066e-05,4.312156746e-05,27.69,10745.1
28,2021-09-24,3.842257298e-05,4.584767834e-05,3.722973481e-05,4.560201054e-05,30.48,11363.18
29,2021-09-23,5.316189234e-05,5.337508041e-05,3.835587565e-05,3.842472771e-05,85.54,9574.73
30,2021-09-22,4.243635686e-05,5.328130216e-05,4.240479057e-05,5.316517118e-05,75.58,13247.78
31,2021-09-21,4.453805662e-05,4.504867823e-05,4.208067952e-05,4.237580534e-05,50.48,10559.27
32,2021-09-20,4.593016988e-05,4.596578736e-05,4.35064468e-05,4.45635184e-05,36.65,11104.41
33,2021-09-19,4.648283519e-05,4.650776539e-05,4.574411518e-05,4.593425362e-05,51.15,11445.97
34,2021-09-18,4.591797954e-05,4.679013217e-05,4.582561989e-05,4.646615697e-05,51.6,11578.51
35,2021-09-17,5.027975942e-05,5.054296352e-05,4.570185217e-05,4.589563003e-05,51.11,11436.34
36,2021-09-16,5.112493331e-05,5.140217867e-05,4.968739943e-05,5.027399453e-05,32.61,12527.35
37,2021-09-15,5.05548273e-05,5.137026198e-05,5.044928432e-05,5.112203004e-05,30.41,12738.67
38,2021-09-14,5.012199514e-05,5.307870957e-05,4.99911881e-05,5.055561255e-05,72.98,12597.53
39,2021-09-13,5.749e-05,5.752e-05,5.005863102e-05,5.012618414e-05,38.41,12490.52
40,2021-09-12,5.385e-05,5.76e-05,5.358e-05,5.748e-05,78.29,14323.96
41,2021-09-11,6.05e-05,6.053e-05,5.007e-05,5.385e-05,37.08,13417.36
42,2021-09-10,5.101e-05,6.653e-05,5.089e-05,6.05e-05,62.5,15075.71
43,2021-09-09,5.012e-05,7.386e-05,5.008e-05,5.101e-05,95.05,12710.59
44,2021-09-08,5.014e-05,5.858e-05,4.901e-05,5.095e-05,199.21,12695.73
45,2021-09-07,5.524e-05,5.87e-05,4.676e-05,5.015e-05,394.54,12497.04
46,2021-09-06,4.721e-05,5.908e-05,4.72e-05,5.522e-05,545.35,13760.44
47,2021-09-05,5.155e-05,5.425e-05,4.556e-05,4.721e-05,626.12,11763.69
48,2021-09-04,4.343e-05,5.155e-05,4.343e-05,5.155e-05,609.79,12845.07
49,2021-09-03,3.889e-05,4.344e-05,3.886e-05,4.343e-05,220.04,10822.77
50,2021-09-02,3.743e-05,3.891e-05,3.435e-05,3.889e-05,43.13,9691.53
51,2021-09-01,4.04e-05,4.041e-05,3.74e-05,3.743e-05,36.11,9326.86
52,2021-08-31,3.857e-05,4.044e-05,3.774e-05,4.04e-05,178.33,10065.87
53,2021-08-30,3.069e-05,3.897e-05,3.066e-05,3.857e-05,121.96,9610.07
54,2021-08-29,4.101e-05,4.102e-05,3.068e-05,3.069e-05,200.54,7647.56
55,2021-08-28,2.867e-05,4.101e-05,2.313e-05,4.101e-05,183.03,10218.04
56,2021-08-27,3.035e-05,3.044e-05,2.865e-05,2.867e-05,32.55,7143.96
57,2021-08-26,2.836e-05,3.046e-05,2.82e-05,3.036e-05,121.44,7564.16
58,2021-08-25,2.529e-05,2.838e-05,2.465e-05,2.836e-05,88.07,7066.77
59,2021-08-24,2.245e-05,2.54e-05,2.226e-05,2.53e-05,37.16,6303.49
60,2021-08-23,2.588e-05,2.714e-05,2.232e-05,2.245e-05,204.16,5594.27
61,2021-08-22,2.687e-05,2.697e-05,2.415e-05,2.589e-05,138.31,6450.11
