,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,2.39745434948755e-06,2.85938443699438e-06,2.25917743778415e-06,2.71535498429949e-06,2304.66,0
1,2021-10-21,2.82332819943417e-06,3.1499605077492e-06,2.3973620911755e-06,2.39742980358328e-06,5947.17,0
2,2021-10-20,2.84848598680755e-06,3.29429166380444e-06,2.65477059281496e-06,2.823147744095e-06,6312.85,0
3,2021-10-19,3.2637179104605e-06,3.58344508911413e-06,2.63672332502386e-06,2.84846868739834e-06,14748.53,0
4,2021-10-18,2.24933838079519e-06,6.285026471665e-06,2.23794582440227e-06,3.2638196704855e-06,84908.42,0
5,2021-10-17,2.60952675305326e-06,4.96907166681816e-06,2.00954497178787e-06,2.2493387898035e-06,16314.17,0
6,2021-10-16,2.39982030377948e-06,2.69990984687684e-06,2.39779140285889e-06,2.60958056600587e-06,3772.09,0
7,2021-10-15,2.40312492214838e-06,2.74511769777393e-06,2.31150760922496e-06,2.39977790483356e-06,3662.55,0
8,2021-10-14,2.73985653448091e-06,3.38364211486098e-06,2.40312539395255e-06,2.40314565163313e-06,5950.28,0
9,2021-10-13,1.93067732983489e-06,2.98188913784382e-06,1.93067732983489e-06,2.73997426462945e-06,7467.03,0
10,2021-10-12,2.09440033787521e-06,2.28921360303397e-06,1.9305721126391e-06,1.9305721126391e-06,2427.15,0
11,2021-10-11,2.08726196926288e-06,2.58339663536262e-06,1.90524542086032e-06,2.09414104614004e-06,4711.92,0
12,2021-10-10,2.13965158648037e-06,2.20820513299326e-06,2.00809080170943e-06,2.08690021462364e-06,1750.26,0
13,2021-10-09,2.33843372837751e-06,2.72013944190712e-06,1.97991417232469e-06,2.13988885519406e-06,3540.64,0
14,2021-10-08,2.37993655624929e-06,2.54662023841531e-06,2.24439128351541e-06,2.33829933236757e-06,2002.72,0
15,2021-10-07,2.36157131056159e-06,2.97709761020983e-06,1.99473818512519e-06,2.37988008802452e-06,5618.26,0
16,2021-10-06,2.03810975969019e-06,2.96579204954315e-06,1.98629583940633e-06,2.36182489858572e-06,3002.71,0
17,2021-10-05,1.95555698639616e-06,2.32794990244911e-06,1.81711696112654e-06,2.03817871853321e-06,3369.56,0
18,2021-10-04,1.94979756538538e-06,2.0693330425565e-06,1.90733880591787e-06,1.95563283388352e-06,1856.64,0
19,2021-10-03,1.95347585673982e-06,2.21361589275119e-06,1.87873898835603e-06,1.94989620422662e-06,697.64,0
20,2021-10-02,1.81361248869057e-06,2.23416785405342e-06,1.80386078455866e-06,1.95377354443957e-06,1651.74,0
21,2021-10-01,1.72026601700129e-06,2.35995854837304e-06,1.71997836740056e-06,1.81347497017909e-06,1626.92,0
22,2021-09-30,1.8071633677565e-06,1.88042160406155e-06,1.64957091154345e-06,1.72029287719632e-06,1056.77,0
23,2021-09-29,1.80254348727297e-06,1.85051711595758e-06,1.62664548398893e-06,1.80720335068093e-06,279.46,0
24,2021-09-28,1.93580224e-06,1.93828154e-06,1.69979263330403e-06,1.80266108422809e-06,772.9,0
25,2021-09-27,2.14009496e-06,2.18033253e-06,1.78570993e-06,1.9358039e-06,1213.99,0
26,2021-09-26,2.49274195e-06,2.50237865e-06,1.93159092e-06,2.14015167e-06,1167.8,0
27,2021-09-25,2.50693629e-06,2.97852823e-06,1.56693722e-06,2.49271876e-06,3128.4,0
28,2021-09-24,2.08969418e-06,2.50714292e-06,1.8140292e-06,2.50697943e-06,2531.2,0
29,2021-09-23,1.74801914e-06,2.23532108e-06,1.74801914e-06,2.08979299e-06,1576.24,0
30,2021-09-22,1.63062915e-06,1.99943146e-06,1.20891502e-06,1.74810277e-06,1328.59,0
31,2021-09-21,2.15909026e-06,2.27009059e-06,1.36992815e-06,1.63065434e-06,2404.2,0
32,2021-09-20,2.67019942e-06,2.67060142e-06,2.15896645e-06,2.15938378e-06,1660.75,0
33,2021-09-19,2.15059988e-06,2.85880153e-06,2.15059988e-06,2.67023094e-06,3517.19,0
34,2021-09-18,2.49557513e-06,2.51937468e-06,2.12955738e-06,2.15059997e-06,1535.34,0
35,2021-09-17,2.27954409e-06,2.7073255e-06,2.27954409e-06,2.49547764e-06,1232.47,0
36,2021-09-16,2.53741225e-06,2.77728926e-06,2.27919549e-06,2.27930532e-06,1135.42,0
37,2021-09-15,2.31852699e-06,3.48795178e-06,2.31852699e-06,2.53708134e-06,2637.05,0
38,2021-09-14,2.31923034e-06,2.51176395e-06,2.29920068e-06,2.31870093e-06,1628.84,0
39,2021-09-13,2.07e-06,2.62125607e-06,2.07e-06,2.31950108e-06,2790.32,0
40,2021-09-12,2.29e-06,2.85e-06,2.01e-06,2.07e-06,2671.44,0
41,2021-09-11,2.51e-06,2.89e-06,2.16e-06,2.29e-06,3520.26,0
42,2021-09-10,2.6e-06,3.47e-06,1.98e-06,2.51e-06,10088.15,0
43,2021-09-09,2.76e-06,2.84e-06,1.46e-06,2.6e-06,3223.43,0
44,2021-09-08,2.21e-06,2.93e-06,1.78e-06,1.98e-06,2644.68,0
45,2021-09-07,3.2e-06,3.33e-06,2.18e-06,2.21e-06,7672.11,0
46,2021-09-06,2.87e-06,3.93e-06,2.87e-06,3.2e-06,8435.12,0
47,2021-09-05,3.73e-06,4.06e-06,2.37e-06,2.87e-06,29627.48,0
48,2021-09-04,3.28e-06,6.37e-06,2.62e-06,3.73e-06,129655.3,0
49,2021-09-03,1.13e-06,5.97e-06,1.06e-06,3.28e-06,117411.07,0
50,2021-09-02,1.21e-06,1.28e-06,1.1e-06,1.13e-06,795.63,0
51,2021-09-01,1.14e-06,1.25e-06,1.14e-06,1.21e-06,374.71,0
52,2021-08-31,9.5e-07,1.19e-06,8.8e-07,1.14e-06,2602.08,0
53,2021-08-30,1.02e-06,1.34e-06,9.4e-07,9.5e-07,1049.32,0
54,2021-08-29,1.1e-06,1.2e-06,1.01e-06,1.02e-06,983.13,0
55,2021-08-28,1.1e-06,1.29e-06,9.6e-07,1.1e-06,1700.95,0
56,2021-08-27,1.37e-06,1.39e-06,1.02e-06,1.02e-06,1511.81,0
57,2021-08-26,1.38e-06,1.4e-06,1.28e-06,1.37e-06,1587.61,0
58,2021-08-25,1.3e-06,1.45e-06,1.23e-06,1.38e-06,1153.04,0
59,2021-08-24,1.32e-06,1.48e-06,1.27e-06,1.3e-06,859.66,0
60,2021-08-23,1.36e-06,1.49e-06,1.31e-06,1.32e-06,1020.66,0
61,2021-08-22,1.3e-06,1.36e-06,1.25e-06,1.36e-06,1377.56,0
62,2021-08-21,1.26e-06,1.5e-06,1.25e-06,1.3e-06,3540.98,0
63,2021-08-20,1.32e-06,1.32e-06,1.23e-06,1.26e-06,1436.98,0
64,2021-08-19,1.45e-06,1.45e-06,1.21e-06,1.32e-06,2283.05,0
65,2021-08-18,1.25e-06,1.55e-06,1.25e-06,1.45e-06,2085.77,0
