,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,5.750141190534e-08,5.968759025863e-08,4.629248317468e-08,5.759425388852e-08,141.5,205.66
1,2021-10-21,5.41969309035e-08,5.777376962164e-08,5.159889718043e-08,5.750139793439e-08,28.87,205.33
2,2021-10-20,5.220612008794e-08,5.591655703565e-08,5.220291142034e-08,5.419283732847e-08,19.82,193.51
3,2021-10-19,5.120107425434e-08,5.991020336527e-08,4.729121029959e-08,5.22055320273e-08,84.73,186.42
4,2021-10-18,5.581805720237e-08,5.582353155326e-08,4.560516131143e-08,5.120262492939e-08,41.26,182.84
5,2021-10-17,5.390226518243e-08,5.7211858561e-08,5.019761358562e-08,5.581807018355e-08,47.87,199.32
6,2021-10-16,5.415845836182e-08,5.448759885079e-08,5.02880818004e-08,5.39033885173e-08,35.49,192.48
7,2021-10-15,5.690211844021e-08,5.700506301663e-08,5.096598112022e-08,5.415784685159e-08,59.76,193.39
8,2021-10-14,5.700553142685e-08,5.909969863485e-08,5.430550674032e-08,5.690246189066e-08,19.34,203.19
9,2021-10-13,5.990579584671e-08,6.311564949828e-08,5.323442120203e-08,5.700764684634e-08,173.58,203.56
10,2021-10-12,5.534195261354e-08,6.341323821922e-08,5.361955023136e-08,5.989878455088e-08,122.48,213.89
11,2021-10-11,5.86597388814e-08,5.912925056115e-08,5.481791247078e-08,5.53379709787e-08,133.39,197.6
12,2021-10-10,5.720267072025e-08,5.888701831717e-08,5.29094834849e-08,5.865403909199e-08,27.73,209.44
13,2021-10-09,5.490642499735e-08,5.831039837203e-08,5.10092955021e-08,5.720901006758e-08,157.86,204.28
14,2021-10-08,6.272350949199e-08,6.282114955942e-08,5.461113312829e-08,5.49032380152e-08,92.24,196.05
15,2021-10-07,5.041603754027e-08,6.353283991355e-08,4.95886385105e-08,6.272200984302e-08,292.32,223.97
16,2021-10-06,6.343028220058e-08,6.353777232347e-08,4.469477372928e-08,5.042119519191e-08,257.57,180.05
17,2021-10-05,4.21931702616e-08,6.343246236519e-08,4.012219108021e-08,6.343246236519e-08,495.5,226.51
18,2021-10-04,5.011008615434e-08,5.301373904386e-08,3.030586140247e-08,4.219472902506e-08,227.51,150.67
19,2021-10-03,4.493329757942e-08,5.913834959299e-08,4.002819952307e-08,5.011271785664e-08,145.19,178.94
20,2021-10-02,5.971064294368e-08,6.00153172863e-08,3.300775280356e-08,4.493991181679e-08,240.77,160.47
21,2021-10-01,6.342565227218e-08,6.342565227218e-08,5.200349751203e-08,5.970607821202e-08,93.86,213.2
22,2021-09-30,6.801915905061e-08,6.952654935839e-08,6.0114295592e-08,6.34266425989e-08,37.64,226.48
23,2021-09-29,6.211852434334e-08,7.001480862036e-08,6.10168858768e-08,6.802165951987e-08,337.97,242.89
24,2021-09-28,7.053671e-08,7.064146e-08,6.002891550756e-08,6.212373812618e-08,169.17,221.83
25,2021-09-27,7.08514e-08,7.108218e-08,6.76345e-08,7.053664e-08,22.05,251.87
26,2021-09-26,7.407319e-08,7.40839e-08,6.846707e-08,7.085329e-08,17.37,253.0
27,2021-09-25,7.105841e-08,7.529261e-08,6.433821e-08,7.407263e-08,55.54,264.5
28,2021-09-24,7.283698e-08,7.284955e-08,6.304236e-08,7.105971e-08,5.65,253.74
29,2021-09-23,7.5503e-08,7.552654e-08,6.242309e-08,7.283984e-08,48.44,260.1
30,2021-09-22,8.370738e-08,8.371048e-08,6.002684e-08,7.550283e-08,331.45,269.61
31,2021-09-21,8.57928e-08,8.650859e-08,7.229148e-08,8.370973e-08,248.75,298.91
32,2021-09-20,7.793442e-08,9.154603e-08,7.132361e-08,8.580449e-08,690.91,306.39
33,2021-09-19,8.075742e-08,8.156401e-08,6.012898e-08,7.792563e-08,107.7,278.26
34,2021-09-18,8.217112e-08,8.234035e-08,8.015999e-08,8.076012e-08,35.25,288.38
35,2021-09-17,8.213701e-08,8.234861e-08,8.008059e-08,8.216845e-08,25.06,293.41
36,2021-09-16,8.573941e-08,8.824159e-08,8.023536e-08,8.212797e-08,67.23,293.26
37,2021-09-15,8.934299e-08,8.937277e-08,7.502744e-08,8.572821e-08,193.16,306.12
38,2021-09-14,9.082137e-08,9.113481e-08,8.428662e-08,8.934975e-08,89.22,319.05
39,2021-09-13,9e-08,9.283915e-08,8e-08,9.083197e-08,56.71,324.34
40,2021-09-12,8e-08,1e-07,7e-08,9e-08,13.0,325.89
41,2021-09-11,1e-07,1e-07,6e-08,8e-08,82.05,299.55
42,2021-09-10,9e-08,1e-07,8e-08,1e-07,256.97,350.74
43,2021-09-09,9e-08,9e-08,8e-08,9e-08,63.27,318.21
44,2021-09-08,9e-08,9e-08,8e-08,9e-08,57.49,317.5
45,2021-09-07,9e-08,9e-08,8e-08,9e-08,53.38,304.08
46,2021-09-06,1e-07,1.1e-07,8e-08,9e-08,920.95,333.81
47,2021-09-05,9e-08,1e-07,8e-08,1e-07,344.96,339.69
48,2021-09-04,9e-08,9e-08,8e-08,9e-08,113.35,317.62
49,2021-09-03,9e-08,9e-08,8e-08,9e-08,100.86,311.45
50,2021-09-02,9e-08,9e-08,8e-08,9e-08,130.56,309.0
51,2021-09-01,9e-08,9e-08,9e-08,9e-08,8.72,321.83
52,2021-08-31,1e-07,1e-07,9e-08,9e-08,180.91,331.89
53,2021-08-30,1e-07,1e-07,9e-08,1e-07,287.9,352.28
54,2021-08-29,1e-07,1e-07,9e-08,1e-07,48.62,344.64
55,2021-08-28,1e-07,1e-07,8e-08,1e-07,9.5,346.54
56,2021-08-27,9e-08,1e-07,9e-08,1e-07,92.68,341.46
57,2021-08-26,9e-08,1e-07,9e-08,9e-08,137.72,334.0
58,2021-08-25,7e-08,1.1e-07,7e-08,9e-08,757.64,338.6
59,2021-08-24,7e-08,7e-08,7e-08,7e-08,105.83,259.34
60,2021-08-23,7e-08,7e-08,6e-08,7e-08,589.48,261.58
61,2021-08-22,7e-08,7e-08,5e-08,7e-08,80.83,232.31
62,2021-08-21,7e-08,7e-08,5e-08,7e-08,262.64,234.38
63,2021-08-20,8e-08,8e-08,3e-08,7e-08,358.14,264.83
64,2021-08-19,9e-08,9e-08,8e-08,8e-08,79.04,295.22
65,2021-08-18,9e-08,9e-08,9e-08,9e-08,108.46,306.17
66,2021-08-17,9e-08,9e-08,9e-08,9e-08,101.79,323.59
67,2021-08-16,9e-08,9e-08,7e-08,9e-08,185.42,326.49
68,2021-08-15,9e-08,9e-08,8e-08,9e-08,44.59,313.0
69,2021-08-14,9e-08,9e-08,8e-08,9e-08,40.81,303.75
70,2021-08-13,9e-08,9e-08,8e-08,9e-08,216.01,312.14
71,2021-08-12,9e-08,1e-07,9e-08,9e-08,161.52,321.91
72,2021-08-11,1e-07,1e-07,9e-08,9e-08,38.11,331.9
73,2021-08-10,9e-08,1e-07,9e-08,1e-07,129.09,347.54
74,2021-08-09,9e-08,1.4e-07,8e-08,9e-08,295.93,332.13
75,2021-08-08,1e-07,1.1e-07,9e-08,9e-08,116.85,335.71
76,2021-08-07,1.1e-07,1.1e-07,9e-08,1e-07,340.42,374.76
77,2021-08-06,9e-08,1.1e-07,8e-08,1.1e-07,184.03,385.06
78,2021-08-05,8e-08,1e-07,8e-08,9e-08,199.77,312.83
79,2021-08-04,9e-08,9e-08,8e-08,8e-08,118.24,300.33
80,2021-08-03,9e-08,9e-08,8e-08,9e-08,223.62,326.82
81,2021-08-02,9e-08,9e-08,8e-08,9e-08,22.05,318.35
82,2021-08-01,9e-08,9e-08,8e-08,9e-08,343.65,303.61
83,2021-07-31,9e-08,9e-08,9e-08,9e-08,11.28,304.74
84,2021-07-30,9e-08,9e-08,8e-08,9e-08,117.07,326.15
85,2021-07-29,9e-08,9e-08,9e-08,9e-08,15.53,321.51
86,2021-07-28,9e-08,9e-08,9e-08,9e-08,128.01,327.47
87,2021-07-27,9e-08,9e-08,9e-08,9e-08,75.23,322.49
