,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,1.9554e-16,2.2136e-16,1.8824e-16,1.9405e-16,115761.96,0
1,2021-10-21,2.3317e-16,2.3536e-16,1.5776e-16,1.9578e-16,200085.69,0
2,2021-10-20,2.5475e-16,2.557e-16,1.4756e-16,2.3297e-16,340855.9,0
3,2021-10-19,2.595e-16,2.7116e-16,1.78e-18,2.5465e-16,1001116.17,0
4,2021-10-18,3.2466e-16,3.6115e-16,1.9958e-16,2.5945e-16,1228507.71,0
5,2021-10-17,1.5515e-16,5.6592e-16,1.4409e-16,3.247e-16,442488.41,0
6,2021-10-16,1.3799e-16,1.6573e-16,1.17e-18,1.5532e-16,94844.36,0
7,2021-10-15,1.6063e-16,1.6063e-16,1.2688e-16,1.3806e-16,97263.34,0
8,2021-10-14,1.3918e-16,1.6316e-16,1.3482e-16,1.6061e-16,123802.65,0
9,2021-10-13,1.3542e-16,1.4827e-16,1.2509e-16,1.391e-16,130372.52,0
10,2021-10-12,1.317e-16,1.3673e-16,1.1614e-16,1.3523e-16,138196.43,0
11,2021-10-11,9.538e-17,8.39384811e-12,8.952e-17,1.3183e-16,109297.69,0
12,2021-10-10,9.949e-17,1.0099e-16,0.0,9.551e-17,67283.6,0
13,2021-10-09,9.951e-17,1.0098e-16,7e-20,9.946e-17,80543.5,0
14,2021-10-08,1.0635e-16,1.1854e-16,9.634e-17,9.949e-17,91346.76,0
15,2021-10-07,1.1914e-16,1.1914e-16,6.11e-18,1.0634e-16,197459.76,0
16,2021-10-06,6.864e-17,1.7858e-16,1.43e-18,1.1907e-16,161578.58,0
17,2021-10-05,7.317e-17,7.534e-17,6.485e-17,6.865e-17,44965.14,0
18,2021-10-04,8.21e-17,8.646e-17,6.704e-17,7.315e-17,103752.24,0
19,2021-10-03,7.53e-17,1.0434e-16,7.071e-17,8.212e-17,109174.42,0
20,2021-10-02,5.358e-17,7.637e-17,5.083e-17,7.525e-17,38121.58,0
21,2021-10-01,4.943e-17,5.496e-17,4.896e-17,5.357e-17,24329.82,0
22,2021-09-30,5.171e-17,5.86e-17,4.838e-17,4.942e-17,33625.35,0
23,2021-09-29,4.584e-17,6.371e-17,2.1e-19,5.173e-17,27003.24,0
24,2021-09-28,0.0,4.804e-17,0.0,4.589e-17,17548.47,0
25,2021-09-27,0.0,0.0,0.0,0.0,15702.21,0
26,2021-09-26,0.0,0.0,0.0,0.0,14120.11,0
27,2021-09-25,0.0,0.0,0.0,0.0,17318.42,0
28,2021-09-24,0.0,0.0,0.0,0.0,23777.58,0
29,2021-09-23,0.0,0.0,0.0,0.0,33681.08,0
30,2021-09-22,0.0,0.0,0.0,0.0,47360.31,0
31,2021-09-21,0.0,0.0,0.0,0.0,43553.48,0
32,2021-09-20,0.0,0.0,0.0,0.0,26030.12,0
33,2021-09-19,0.0,0.0,0.0,0.0,19309.12,0
34,2021-09-18,0.0,0.0,0.0,0.0,17989.67,0
35,2021-09-17,0.0,0.0,0.0,0.0,21775.24,0
36,2021-09-16,0.0,0.0,0.0,0.0,32650.14,0
37,2021-09-15,0.0,0.0,0.0,0.0,28409.54,0
38,2021-09-14,0.0,0.0,0.0,0.0,17630.33,0
39,2021-09-13,0.0,0.0,0.0,0.0,15189.93,0
40,2021-09-12,0.0,0.0,0.0,0.0,16562.21,0
41,2021-09-11,0.0,0.0,0.0,0.0,20405.38,0
42,2021-09-10,0.0,0.0,0.0,0.0,27457.36,0
43,2021-09-09,0.0,0.0,0.0,0.0,26098.45,0
44,2021-09-08,0.0,0.0,0.0,0.0,23061.46,0
45,2021-09-07,0.0,0.0,0.0,0.0,29437.96,0
46,2021-09-06,0.0,0.0,0.0,0.0,33680.21,0
47,2021-09-05,0.0,0.0,0.0,0.0,31938.92,0
48,2021-09-04,0.0,0.0,0.0,0.0,32433.1,0
49,2021-09-03,0.0,0.0,0.0,0.0,33794.81,0
50,2021-09-02,0.0,0.0,0.0,0.0,32706.31,0
51,2021-09-01,0.0,0.0,0.0,0.0,31203.08,0
52,2021-08-31,0.0,0.0,0.0,0.0,39447.46,0
53,2021-08-30,0.0,0.0,0.0,0.0,39235.89,0
54,2021-08-29,0.0,0.0,0.0,0.0,32754.93,0
55,2021-08-28,0.0,0.0,0.0,0.0,41483.83,0
56,2021-08-27,0.0,0.0,0.0,0.0,70441.34,0
57,2021-08-26,0.0,0.0,0.0,0.0,71804.55,0
58,2021-08-25,0.0,0.0,0.0,0.0,46989.96,0
59,2021-08-24,0.0,0.0,0.0,0.0,61790.65,0
60,2021-08-23,0.0,0.0,0.0,0.0,82902.26,0
61,2021-08-22,0.0,0.0,0.0,0.0,81328.25,0
62,2021-08-21,0.0,0.0,0.0,0.0,103383.25,0
63,2021-08-20,0.0,0.0,0.0,0.0,135847.27,0
64,2021-08-19,0.0,0.0,0.0,0.0,239039.29,0
65,2021-08-18,0.0,0.0,0.0,0.0,524012.92,0
66,2021-08-17,0.0,0.0,0.0,0.0,610721.09,0
67,2021-08-16,0.0,0.0,0.0,0.0,582669.84,0
68,2021-08-15,0.0,0.0,0.0,0.0,338832.16,0
69,2021-08-14,0.0,0.0,0.0,0.0,46781.24,0
70,2021-08-13,0.0,0.0,0.0,0.0,73053.86,0
71,2021-08-12,0.0,0.0,0.0,0.0,58807.8,0
72,2021-08-11,0.0,0.0,0.0,0.0,41867.15,0
73,2021-08-10,0.0,0.0,0.0,0.0,49730.35,0
74,2021-08-09,0.0,0.0,0.0,0.0,59100.94,0
75,2021-08-08,0.0,0.0,0.0,0.0,63044.52,0
76,2021-08-07,0.0,0.0,0.0,0.0,51919.41,0
77,2021-08-06,0.0,0.0,0.0,0.0,65850.58,0
78,2021-08-05,0.0,0.0,0.0,0.0,88663.26,0
79,2021-08-04,0.0,0.0,0.0,0.0,93171.19,0
80,2021-08-03,0.0,0.0,0.0,0.0,108014.46,0
81,2021-08-02,0.0,0.0,0.0,0.0,162407.61,0
82,2021-08-01,0.0,0.0,0.0,0.0,125741.25,0
83,2021-07-31,0.0,0.0,0.0,0.0,50394.46,0
84,2021-07-30,0.0,0.0,0.0,0.0,45679.5,0
