,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,4.5146340934e-10,4.7403189859e-10,4.3918422956e-10,4.4242353796e-10,416.13,0
1,2021-10-21,4.8044040964e-10,4.8463153389e-10,4.4183860276e-10,4.5201931064e-10,200.05,0
2,2021-10-20,4.6571879275e-10,4.868270171e-10,4.4287738115e-10,4.8001401073e-10,226.62,0
3,2021-10-19,4.4496241587e-10,4.7550991836e-10,4.449587356e-10,4.6552545974e-10,197.63,0
4,2021-10-18,4.3126468088e-10,4.5983821231e-10,4.3070062416e-10,4.4529192303e-10,197.16,0
5,2021-10-17,4.3460365313e-10,4.5309298661e-10,4.2879151336e-10,4.3111213391e-10,137.81,0
6,2021-10-16,4.5389334963e-10,4.5708092116e-10,4.2744459102e-10,4.3509734678e-10,230.96,0
7,2021-10-15,4.5492353361e-10,4.5706430037e-10,4.2679117542e-10,4.5410134281e-10,201.18,0
8,2021-10-14,4.5154908064e-10,4.6332985589e-10,4.182896338e-10,4.5486769112e-10,95.12,0
9,2021-10-13,4.0761922267e-10,4.5213007518e-10,4.075745854e-10,4.5129424366e-10,292.03,0
10,2021-10-12,3.9693792202e-10,4.2385238191e-10,3.654096258e-10,4.0705056638e-10,274.79,0
11,2021-10-11,3.9059696408e-10,4.072999481e-10,3.89525392e-10,3.9735858828e-10,73.64,0
12,2021-10-10,4.064100326e-10,4.0790840773e-10,3.8987918879e-10,3.9112670283e-10,192.02,0
13,2021-10-09,4.0468243933e-10,4.1136469757e-10,3.9363236311e-10,4.0630164534e-10,222.53,0
14,2021-10-08,4.0777884057e-10,4.1155474788e-10,3.8828026447e-10,4.0460696402e-10,173.0,0
15,2021-10-07,4.2180338578e-10,4.3478867667e-10,3.9024888351e-10,4.077506693e-10,210.35,0
16,2021-10-06,4.2955222266e-10,4.2977106032e-10,4.0316740797e-10,4.2154380756e-10,256.93,0
17,2021-10-05,4.1320669503e-10,4.300164454e-10,4.0087775631e-10,4.2961024877e-10,181.43,0
18,2021-10-04,4.1741564756e-10,4.1756548911e-10,4.0052387264e-10,4.1309752748e-10,28.15,0
19,2021-10-03,4.1554675971e-10,4.2348790398e-10,4.1054001035e-10,4.1752808424e-10,55.42,0
