,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,4.4444771e-07,9.9158936e-07,4.4421929e-07,9.1074244e-07,466103.94,0
1,2021-10-21,3.7403695e-07,5.1443266e-07,3.721582e-07,4.4492039e-07,99711.23,0
2,2021-10-20,3.7461395e-07,4.4205382e-07,3.1031476e-07,3.7468446e-07,93540.38,0
3,2021-10-19,3.5566122e-07,4.4455896e-07,3.4021944e-07,3.7636508e-07,140502.96,0
4,2021-10-18,3.7924658e-07,3.8983679e-07,3.5303097e-07,3.5563494e-07,35263.35,0
5,2021-10-17,3.3983501e-07,4.1131983e-07,3.2878764e-07,3.7889568e-07,76590.71,0
6,2021-10-16,3.7863934e-07,4.2010256e-07,2.8058353e-07,3.3984362e-07,78557.84,0
7,2021-10-15,4.4143176e-07,4.7409578e-07,3.0296536e-07,3.7812074e-07,186828.57,0
8,2021-10-14,4.7279703e-07,5.0521429e-07,4.101967e-07,4.4195915e-07,194719.66,0
9,2021-10-13,5.0650682e-07,5.0777022e-07,3.4934296e-07,4.7248856e-07,101070.96,0
10,2021-10-12,4.2026625e-07,5.1211223e-07,3.6637602e-07,5.0631089e-07,202725.65,0
11,2021-10-11,4.2405635e-07,5.8060518e-07,2.7020674e-07,4.2054014e-07,541382.59,0
12,2021-10-10,4.3640847e-07,5.0771568e-07,3.6740867e-07,4.244458e-07,113399.34,0
13,2021-10-09,4.0801672e-07,4.709959e-07,4.0339529e-07,4.3690383e-07,57766.5,0
14,2021-10-08,4.5791503e-07,6.1129393e-07,4.0731956e-07,4.0815268e-07,81580.0,0
15,2021-10-07,3.9126752e-07,5.2220516e-07,3.5088646e-07,4.5847599e-07,171622.68,0
16,2021-10-06,4.0504464e-07,5.557114e-07,3.1886165e-07,3.9103211e-07,188659.79,0
17,2021-10-05,4.3045753e-07,4.563985e-07,3.7624288e-07,4.0572892e-07,169507.52,0
18,2021-10-04,5.1048725e-07,5.1048725e-07,3.877636e-07,4.3035069e-07,53163.75,0
19,2021-10-03,5.0423593e-07,5.7153857e-07,3.6877125e-07,5.1026035e-07,306981.44,0
20,2021-10-02,6.4522007e-07,6.6110371e-07,4.7863208e-07,5.0497102e-07,67893.64,0
21,2021-10-01,6.0269237e-07,7.0541395e-07,5.5573469e-07,6.451736e-07,85840.97,0
22,2021-09-30,5.8801599e-07,6.9158164e-07,4.7858468e-07,6.0268547e-07,110498.61,0
23,2021-09-29,6.4789818e-07,8.0869539e-07,5.666643e-07,5.8868227e-07,168252.06,0
24,2021-09-28,7.0186283e-07,7.0387693e-07,5.2881031e-07,6.4872303e-07,262797.65,0
25,2021-09-27,5.0168639e-07,7.235743e-07,4.9640895e-07,7.0180873e-07,188133.33,0
26,2021-09-26,5.201164e-07,5.6242571e-07,4.6075739e-07,5.0168639e-07,143191.84,0
27,2021-09-25,7.1589109e-07,7.1589109e-07,5.1657417e-07,5.2021517e-07,70087.2,0
28,2021-09-24,6.4918737e-07,7.1578757e-07,3.1728192e-07,7.1564716e-07,594333.47,0
29,2021-09-23,6.7265225e-07,8.4658361e-07,5.9999881e-07,6.4911457e-07,179727.57,0
30,2021-09-22,6.0747451e-07,8.8072235e-07,6.0747451e-07,6.7224577e-07,289301.71,0
31,2021-09-21,7.5321233e-07,7.5348095e-07,5.2055163e-07,6.0757769e-07,202724.71,0
32,2021-09-20,6.2835391e-07,8.6719883e-07,3.621526e-07,7.5390115e-07,830441.69,0
33,2021-09-19,6.5530803e-07,6.8780761e-07,4.4851494e-07,6.2835391e-07,382867.27,0
34,2021-09-18,7.6807156e-07,8.2505733e-07,5.104151e-07,6.5530803e-07,715454.18,0
35,2021-09-17,3.0338577e-07,8.3652313e-07,3.0338577e-07,7.6758178e-07,1382411.36,0
36,2021-09-16,3.1177862e-07,3.2949787e-07,2.2366341e-07,3.0361709e-07,253799.24,0
37,2021-09-15,1.9027952e-07,3.5484575e-07,1.7515943e-07,3.1167489e-07,543089.56,0
