,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,1.251028070663805e-05,1.251432296034104e-05,1.144109569633003e-05,1.154280202284094e-05,0.0,0
1,2021-10-21,1.544907836460462e-05,1.598032994660384e-05,1.250260872137123e-05,1.251027766705095e-05,556682.97,0
2,2021-10-20,1.327154713381192e-05,1.59987119004224e-05,1.252449859546549e-05,1.544906295233846e-05,752284.92,0
3,2021-10-19,1.342025643617843e-05,1.496545347508167e-05,1.240819778592827e-05,1.327139764033418e-05,696849.59,0
4,2021-10-18,1.295422165948592e-05,1.400339105414858e-05,1.217932819142722e-05,1.342066288188449e-05,718981.24,0
5,2021-10-17,1.385055932237218e-05,1.50550848350907e-05,1.217365077310943e-05,1.295424401152047e-05,675938.73,0
6,2021-10-16,1.206975404620778e-05,1.42987925253642e-05,9.91780062176733e-06,1.385084797102396e-05,726749.22,0
7,2021-10-15,1.253082320437759e-05,1.596483332189522e-05,1.035153330493173e-05,1.206961776503715e-05,599077.47,0
8,2021-10-14,1.236239692453686e-05,1.340053093557601e-05,1.137301175333417e-05,1.253085389642243e-05,634794.2,0
9,2021-10-13,1.618468687594349e-05,1.867332989765975e-05,1.124070430137621e-05,1.23626159327441e-05,653797.06,0
10,2021-10-12,1.013704596316347e-05,1.900796515214129e-05,9.72978515026659e-06,1.618236716906606e-05,533192.03,0
11,2021-10-11,9.80997170955516e-06,1.127614552179733e-05,9.7104616051498e-06,1.013631664275709e-05,385603.04,0
12,2021-10-10,1.050812329256319e-05,1.128821799380432e-05,9.7115329396682e-06,9.80901850427554e-06,482863.22,0
13,2021-10-09,1.046807244195677e-05,1.132290450823798e-05,1.01617741741092e-05,1.05092389974346e-05,619597.22,0
14,2021-10-08,1.129423127949668e-05,1.156635992497211e-05,1.016810571377721e-05,1.046744511587867e-05,698878.32,0
15,2021-10-07,1.0603355620035e-05,1.180404514426161e-05,1.019122136977746e-05,1.129396124705678e-05,657222.45,0
16,2021-10-06,1.023449742413738e-05,1.150491493140855e-05,1.002617947652131e-05,1.06044403624543e-05,572453.78,0
17,2021-10-05,1.259365985321752e-05,1.28444927150813e-05,1.001842883036025e-05,1.023484919443163e-05,589020.72,0
18,2021-10-04,1.239271598489681e-05,1.279117535539634e-05,1.120930793360916e-05,1.259410225494521e-05,594665.76,0
19,2021-10-03,1.137322656809253e-05,1.283890668618593e-05,1.106389097897472e-05,1.239338593780072e-05,587313.97,0
20,2021-10-02,1.153205085251228e-05,1.184331292486124e-05,1.101160262127687e-05,1.13749007212073e-05,604783.8,0
21,2021-10-01,9.86152495792598e-06,1.178341521965721e-05,9.6617224245839e-06,1.153116925561524e-05,537573.89,0
22,2021-09-30,1.043716655178409e-05,1.09781867595026e-05,9.66869707551055e-06,9.86167893555564e-06,571017.07,0
23,2021-09-29,9.64816164609128e-06,1.098046616706405e-05,9.17240589191372e-06,1.043760111247776e-05,585686.83,0
24,2021-09-28,9.5469142e-06,1.13867247e-05,9.34194659e-06,9.6490779453431e-06,553441.03,0
25,2021-09-27,9.25157172e-06,1.143238315e-05,9.16931572e-06,9.54685336e-06,483564.67,0
26,2021-09-26,9.22664734e-06,1.143706889e-05,8.98021286e-06,9.25167666e-06,597366.7,0
27,2021-09-25,1.04168424e-05,1.079018202e-05,9.17444777e-06,9.22662256e-06,563216.7,0
28,2021-09-24,1.017074006e-05,1.098802226e-05,9.16903572e-06,1.041699317e-05,618322.67,0
29,2021-09-23,1.097693962e-05,1.179203873e-05,9.28329212e-06,1.017115888e-05,697492.75,0
30,2021-09-22,1.04968338e-05,1.164263776e-05,9.66349508e-06,1.097672552e-05,502329.68,0
31,2021-09-21,1.155945348e-05,1.295015879e-05,1.015277401e-05,1.049718671e-05,663580.1,0
32,2021-09-20,1.162380291e-05,1.428791332e-05,1.043932055e-05,1.156117986e-05,767537.93,0
33,2021-09-19,1.567560073e-05,1.567560073e-05,1.044085562e-05,1.162328334e-05,768606.9,0
34,2021-09-18,1.291724915e-05,1.975439458e-05,9.47448727e-06,1.56761153e-05,855391.38,0
35,2021-09-17,1.246317493e-05,1.396193764e-05,1.131130746e-05,1.291686518e-05,797722.07,0
36,2021-09-16,1.153577554e-05,1.398356234e-05,1.129201176e-05,1.246174644e-05,663360.94,0
37,2021-09-15,1.350060041e-05,1.39334561e-05,1.11728567e-05,1.153422299e-05,704157.72,0
38,2021-09-14,1.340854204e-05,1.581727013e-05,1.152203479e-05,1.35016955e-05,815025.7,0
39,2021-09-13,1.363e-05,1.575716772e-05,1.223344122e-05,1.341012213e-05,631920.83,0
40,2021-09-12,1.343e-05,1.584e-05,1.22e-05,1.363e-05,770446.71,0
41,2021-09-11,1.521e-05,1.72e-05,1.217e-05,1.343e-05,764527.47,0
42,2021-09-10,1.656e-05,1.765e-05,1.418e-05,1.521e-05,1097079.89,0
43,2021-09-09,1.499e-05,1.869e-05,1.423e-05,1.656e-05,970407.7,0
44,2021-09-08,1.754e-05,1.781e-05,1.421e-05,1.535e-05,988804.77,0
45,2021-09-07,1.588e-05,2.338e-05,1.424e-05,1.755e-05,944680.59,0
46,2021-09-06,1.942e-05,2.184e-05,1.526e-05,1.588e-05,1071482.08,0
47,2021-09-05,2.464e-05,2.769e-05,1.593e-05,1.942e-05,1131774.8,0
48,2021-09-04,2.098e-05,2.544e-05,1.827e-05,2.465e-05,1229283.94,0
49,2021-09-03,1.994e-05,2.298e-05,1.642e-05,2.098e-05,1212702.33,0
50,2021-09-02,2.103e-05,2.37e-05,1.613e-05,1.994e-05,1463879.74,0
