,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,3.07162772444e-09,3.23764513065e-09,3.05870113067e-09,3.13313795186e-09,12681.94,0
1,2021-10-21,3.22320061363e-09,3.26885064121e-09,3.05102541196e-09,3.07540991771e-09,0.0,0
2,2021-10-20,3.14349243586e-09,3.28223693762e-09,3.11307905167e-09,3.22033996908e-09,0.0,0
3,2021-10-19,3.200964293e-09,3.28680835999e-09,3.11434312305e-09,3.14218748345e-09,11231.32,0
4,2021-10-18,3.14768897417e-09,3.20581256843e-09,3.08330556758e-09,3.19943408846e-09,14452.72,0
5,2021-10-17,3.20733267034e-09,3.20763819633e-09,3.06743201701e-09,3.14801282923e-09,19680.48,0
6,2021-10-16,3.40095343035e-09,3.41341174904e-09,3.19077028013e-09,3.21097608148e-09,19058.82,0
7,2021-10-15,3.39388627703e-09,3.4272975964e-09,3.24487292622e-09,3.40251189141e-09,19415.53,0
8,2021-10-14,3.47571026546e-09,3.51748905151e-09,3.34999905384e-09,3.39346967283e-09,15840.97,0
9,2021-10-13,3.22552722026e-09,3.48018235672e-09,3.22517400158e-09,3.47374870789e-09,15480.17,0
10,2021-10-12,2.95893917488e-09,3.23994283297e-09,2.8143761541e-09,3.22102739242e-09,14431.78,0
11,2021-10-11,2.92981081901e-09,3.06313070694e-09,2.89846564814e-09,2.96207499489e-09,13572.68,0
12,2021-10-10,3.0198577516e-09,3.0296714377e-09,2.92326321995e-09,2.93378431205e-09,14717.46,0
13,2021-10-09,3.00315854794e-09,3.05022796571e-09,2.96104337228e-09,3.01905237257e-09,13015.59,0
14,2021-10-08,3.14912593318e-09,3.17597122894e-09,2.98782892976e-09,3.00259844372e-09,18259.28,0
15,2021-10-07,3.2322712928e-09,3.34603766248e-09,3.13749485249e-09,3.14890837684e-09,23913.58,0
16,2021-10-06,3.34439420918e-09,3.34609802856e-09,3.08163478595e-09,3.23028214982e-09,17727.15,0
17,2021-10-05,3.28903473631e-09,3.42529922577e-09,3.27121470703e-09,3.344845987e-09,15660.45,0
18,2021-10-04,3.29172174397e-09,3.32588636961e-09,3.15529972849e-09,3.28816578652e-09,16407.38,0
19,2021-10-03,3.28384065194e-09,3.35538075808e-09,3.23151633453e-09,3.29260841472e-09,13696.0,0
20,2021-10-02,3.21929573091e-09,3.34542707115e-09,3.14852229135e-09,3.28201454796e-09,17690.2,0
21,2021-10-01,2.90872836763e-09,3.23662535821e-09,2.88048881991e-09,3.21840451559e-09,27848.9,0
22,2021-09-30,2.7851526169e-09,2.93904875061e-09,2.77569176812e-09,2.90795736465e-09,24239.54,0
23,2021-09-29,2.50655457857e-09,2.78647041144e-09,2.5037137789e-09,2.78647041144e-09,28235.69,0
24,2021-09-28,2.312e-09,2.5499258252e-09,2.3037e-09,2.50882825517e-09,19455.89,0
