,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,1.19002670191041e-06,1.19041200943571e-06,1.17394076297127e-06,1.18403011600644e-06,575079.43,0
1,2021-10-21,1.17984048788034e-06,1.19051869059661e-06,1.17973628480559e-06,1.19002641277303e-06,593880.35,0
2,2021-10-20,1.19012533473984e-06,1.19081970544528e-06,1.17958456112133e-06,1.17992843260579e-06,622577.26,0
3,2021-10-19,1.19002273912462e-06,1.19071360273071e-06,1.17938437582241e-06,1.19012533473984e-06,613881.09,0
4,2021-10-18,1.18032983254022e-06,1.19064347974017e-06,1.17933630430668e-06,1.1900587801373e-06,588045.06,0
5,2021-10-17,1.18007224590673e-06,1.19080983497537e-06,1.1793775636462e-06,1.18033010704054e-06,573094.41,0
6,2021-10-16,1.1789991535203e-06,1.19019237828142e-06,1.17885803824098e-06,1.18002947288274e-06,590918.4,0
7,2021-10-15,1.19004140534278e-06,1.19063527291248e-06,1.17888057562769e-06,1.17898584128674e-06,590896.25,0
8,2021-10-14,1.19011508157604e-06,1.19035313764122e-06,1.17973314193863e-06,1.19004858766479e-06,604783.73,0
9,2021-10-13,1.19011471497509e-06,1.19090048397572e-06,1.17939206935793e-06,1.19015924558213e-06,584656.28,0
10,2021-10-12,1.1808207538532e-06,1.19122852850545e-06,1.18020299153012e-06,1.18997542550861e-06,599234.56,0
11,2021-10-11,1.18120067523215e-06,1.1911965692303e-06,1.17985146597556e-06,1.18073579846529e-06,601735.52,0
12,2021-10-10,1.47867207271938e-06,1.49051770592873e-06,1.18007117905524e-06,1.18108590153522e-06,665160.54,0
13,2021-10-09,1.45716852808791e-06,1.48899893882747e-06,1.44509454252888e-06,1.47883594296752e-06,720481.77,0
14,2021-10-08,1.47364071190898e-06,1.48386301124563e-06,1.43838624539302e-06,1.4570839497087e-06,679582.37,0
15,2021-10-07,1.4904716862583e-06,1.49171258719425e-06,1.37971942900287e-06,1.47360547879785e-06,639458.88,0
16,2021-10-06,1.4806506537364e-06,1.49178461433385e-06,1.47902837307077e-06,1.49062416420242e-06,637930.13,0
17,2021-10-05,1.58974230073728e-06,1.59061894108393e-06,1.47947164266649e-06,1.48070154523547e-06,644196.32,0
18,2021-10-04,1.59031952757635e-06,1.5909292240413e-06,1.57903849888433e-06,1.58980103138464e-06,683125.55,0
19,2021-10-03,1.58044837093986e-06,1.59086394923263e-06,1.57962512440017e-06,1.5904030486372e-06,694625.09,0
20,2021-10-02,1.59028281487377e-06,1.590881475872e-06,1.58011454545722e-06,1.58068101490831e-06,733636.9,0
21,2021-10-01,1.57554040509485e-06,1.59065775230933e-06,1.57527695539348e-06,1.59016124166767e-06,694680.13,0
22,2021-09-30,1.58044510974571e-06,1.59018010131149e-06,1.29957583323585e-06,1.57556500554742e-06,670559.08,0
23,2021-09-29,1.58047112126029e-06,1.59103780864821e-06,1.57980035048571e-06,1.58050320888232e-06,645842.37,0
24,2021-09-28,1.59081476e-06,1.59133369522913e-06,1.58014046153194e-06,1.58060377465632e-06,743291.54,0
25,2021-09-27,1.59119517e-06,1.59215522e-06,1.57985405e-06,1.59070739e-06,749919.22,0
26,2021-09-26,1.58155029e-06,1.59215014e-06,1.58073554e-06,1.59104766e-06,730289.43,0
27,2021-09-25,1.59130451e-06,1.59266735e-06,1.58058898e-06,1.58143898e-06,723267.54,0
28,2021-09-24,1.39076047e-06,1.59194581e-06,1.38038328e-06,1.59133364e-06,626263.85,0
29,2021-09-23,1.39005514e-06,1.39159199e-06,1.37987689e-06,1.39067791e-06,608668.57,0
30,2021-09-22,1.39123352e-06,1.39193685e-06,1.38053316e-06,1.39007653e-06,643718.27,0
31,2021-09-21,1.3798841e-06,1.59084726e-06,1.19002571e-06,1.39127261e-06,660718.02,0
32,2021-09-20,1.3840616e-06,1.39390068e-06,1.37974341e-06,1.38007217e-06,679968.18,0
33,2021-09-19,1.37927228e-06,1.39540935e-06,1.37749776e-06,1.38407874e-06,624623.73,0
34,2021-09-18,1.37951473e-06,1.39075823e-06,1.37885495e-06,1.37927197e-06,683231.16,0
35,2021-09-17,1.5506986e-06,1.55121873e-06,1.3793603e-06,1.37946982e-06,691622.39,0
36,2021-09-16,1.54070813e-06,1.55104991e-06,1.54017888e-06,1.55052781e-06,730382.55,0
37,2021-09-15,1.6344557e-06,1.76836468e-06,1.54044975e-06,1.54050691e-06,734215.64,0
38,2021-09-14,1.47815479e-06,3.08741656e-06,1.47713603e-06,1.63219507e-06,778953.3,0
39,2021-09-13,3.99e-06,4.32e-06,1.27043782e-06,1.47798972e-06,745684.3,0
40,2021-09-12,1.57e-06,0.03304575,1.44e-06,4e-06,790207.12,0
41,2021-09-11,1.55e-06,1.58e-06,1.5e-06,1.57e-06,750903.5,0
42,2021-09-10,1.7e-06,1.7e-06,1.5e-06,1.55e-06,789926.02,0
43,2021-09-09,1.74e-06,3.03e-06,1.24e-06,1.7e-06,904837.97,0
44,2021-09-08,1.87e-06,5.41e-06,1.62e-06,1.76e-06,908498.01,0
45,2021-09-07,1.7e-06,9.92e-06,1.54e-06,1.87e-06,1402562.04,0
46,2021-09-06,1.91e-06,2.14e-06,1.67e-06,1.7e-06,1712373.37,0
47,2021-09-05,2.01e-06,0.00051537,1.43e-06,1.91e-06,1774679.68,0
48,2021-09-04,2.14e-06,3.52e-06,1.3e-06,2.01e-06,610186.97,0
49,2021-09-03,2.31e-06,0.01675137,1.76e-06,2.14e-06,317937299.1,0
50,2021-09-02,2.44e-06,2.46e-06,1.68e-06,2.31e-06,347478.15,0
51,2021-09-01,2.72e-06,2.72e-06,2.43e-06,2.44e-06,702664.89,0
52,2021-08-31,2.72e-06,2.72e-06,2.71e-06,2.72e-06,607576.74,0
53,2021-08-30,2.68e-06,2.72e-06,2.65e-06,2.72e-06,629178.8,0
54,2021-08-29,2.64e-06,2.71e-06,2.6e-06,2.68e-06,611932.33,0
55,2021-08-28,2.79e-06,2.95e-06,1.74e-06,2.59e-06,621620.64,0
56,2021-08-27,2.54e-06,3.03e-06,2e-06,2.88e-06,576356.3,0
57,2021-08-26,2.67e-06,2.68e-06,2.15e-06,2.54e-06,555542.55,0
58,2021-08-25,2.61e-06,2.71e-06,2e-06,2.67e-06,523732.14,0
59,2021-08-24,2.71e-06,2.72e-06,2e-06,2.62e-06,290509.86,0
60,2021-08-23,2.72e-06,2.73e-06,2.15e-06,2.71e-06,748006.87,0
61,2021-08-22,2.66e-06,2.72e-06,2.65e-06,2.72e-06,676420.44,0
62,2021-08-21,2.72e-06,2.73e-06,2.47e-06,2.66e-06,770148.37,0
