,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,1.283509129634e-08,1.389155638508e-08,1.21327512836e-08,1.365206651918e-08,5501440.29,11746208.51
1,2021-10-21,1.397324908969e-08,1.502468884045e-08,1.092366571804e-08,1.284908569615e-08,6418855.99,11055325.55
2,2021-10-20,9.34474485047e-09,1.619710154437e-08,8.64394081891e-09,1.396912617602e-08,4214195.43,12019005.95
3,2021-10-19,8.87671989569e-09,1.245220344219e-08,8.05484761665e-09,9.34319386209e-09,1798731.46,8038863.8
4,2021-10-18,7.01421263202e-09,8.99148165496e-09,6.34058393598e-09,8.87636150242e-09,1157990.83,7637202.24
5,2021-10-17,6.33500476084e-09,7.0143960618e-09,5.94383749612e-09,7.0143960618e-09,1125843.07,6035171.21
6,2021-10-16,7.44783767429e-09,7.52615381812e-09,6.29201081586e-09,6.33912626887e-09,1672201.7,5454170.54
7,2021-10-15,8.61464490396e-09,8.62700669289e-09,6.75835887182e-09,7.45087627827e-09,3410842.36,6410717.84
8,2021-10-14,7.78547380144e-09,1.209395753313e-08,7.77552739494e-09,8.61371253077e-09,4378060.06,7411219.64
9,2021-10-13,4.34257068412e-09,7.93098834201e-09,4.23947388498e-09,7.78157567749e-09,2266437.74,6695250.89
10,2021-10-12,3.71233220651e-09,4.37666754248e-09,3.43494411268e-09,4.33831662569e-09,834088.7,3732678.25
11,2021-10-11,3.71015908795e-09,3.99886575974e-09,3.42067280038e-09,3.7137730844e-09,725681.75,3195322.33
12,2021-10-10,4.44554854319e-09,4.48035892334e-09,3.52184602737e-09,3.71232724477e-09,764660.24,3194078.34
13,2021-10-09,4.46802707996e-09,4.59244009899e-09,2.91768629227e-09,4.44536709967e-09,1047915.99,3824784.24
14,2021-10-08,4.76005626471e-09,4.82481091829e-09,4.33834288236e-09,4.46743359041e-09,1307999.93,3843770.2
15,2021-10-07,5.96129128342e-09,6.04554805364e-09,4.6814729209e-09,4.75976739528e-09,2747270.29,4095293.58
16,2021-10-06,7.9513244093e-09,8.32276528001e-09,5.94112907144e-09,5.95821780211e-09,3791538.82,5126437.72
17,2021-10-05,6.13264232512e-09,9.19383849837e-09,6.10655637316e-09,7.95226589497e-09,2949260.86,6842112.38
18,2021-10-04,6.61752623175e-09,6.78313830664e-09,5.62141082636e-09,6.13141875016e-09,2374814.72,5275459.44
19,2021-10-03,4.63006749618e-09,6.74469780952e-09,4.30066288439e-09,6.61919199046e-09,3606656.02,5695138.48
20,2021-10-02,7.67916834738e-09,9.49288130549e-09,4.61562631167e-09,4.62767284063e-09,4637202.13,3981639.71
21,2021-10-01,3.99950801921e-09,8.61259928217e-09,3.99950801921e-09,7.6771938541e-09,3688552.51,6605440.99
22,2021-09-30,2.61349252469e-09,4.34263299448e-09,2.05693038613e-09,3.99857903668e-09,1827397.12,3440368.76
23,2021-09-29,1.65464956456e-09,3.38621122422e-09,1.65464956456e-09,2.61453966646e-09,1222260.77,2249544.28
24,2021-09-28,1.25113e-09,1.85818e-09,1.09687e-09,1.6559379763e-09,887765.2,1424765.46
25,2021-09-27,1.08307e-09,1.385e-09,1.08307e-09,1.25081e-09,407770.38,0.0
