,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,2.99431445e-12,3.39195561e-12,2.91884821e-12,3.1358855e-12,91604.21,0
1,2021-10-21,3.02060776e-12,3.20427003e-12,2.97111155e-12,2.99800144e-12,119772.87,0
2,2021-10-20,3.03307031e-12,3.04748389e-12,2.41741721e-12,3.01792692e-12,249343.23,0
3,2021-10-19,4.26900774e-12,4.31590834e-12,2.37166707e-12,3.03181119e-12,347934.75,0
4,2021-10-18,4.01918199e-12,5.78848709e-12,4.00327457e-12,4.26696697e-12,700339.25,0
5,2021-10-17,2.83545655e-12,6.73268505e-12,2.73413598e-12,4.01959551e-12,590299.54,0
6,2021-10-16,2.49660118e-12,2.95774222e-12,2.14899603e-12,2.83867752e-12,344247.91,0
7,2021-10-15,2.70844078e-12,3.12905935e-12,1.77495398e-12,2.49774522e-12,535040.28,0
8,2021-10-14,1.07338906e-12,3.19957776e-12,1.01485403e-12,2.70810832e-12,288849.9,0
9,2021-10-13,8.9370144e-13,1.08546012e-12,8.9360357e-13,1.07278328e-12,23752.57,0
10,2021-10-12,8.19446e-13,8.9405877e-13,7.9159596e-13,8.9245466e-13,19277.59,0
11,2021-10-11,7.8619178e-13,8.73073e-13,7.8360148e-13,8.2031443e-13,14205.12,0
12,2021-10-10,8.4857413e-13,8.4983828e-13,7.8474704e-13,7.8725803e-13,15995.89,0
13,2021-10-09,8.0116936e-13,8.7540776e-13,7.5525818e-13,8.4834782e-13,18524.85,0
14,2021-10-08,8.3308583e-13,8.452714e-13,7.7145735e-13,8.0101993e-13,18175.65,0
15,2021-10-07,8.4531564e-13,8.9535614e-13,8.0316145e-13,8.3302828e-13,19137.3,0
16,2021-10-06,9.1294176e-13,9.1340686e-13,8.2700645e-13,8.4479543e-13,17748.02,0
17,2021-10-05,9.506185e-13,9.9925341e-13,8.8221018e-13,9.1306509e-13,26450.42,0
18,2021-10-04,1.08926528e-12,1.09464235e-12,8.8719672e-13,9.5036735e-13,54122.22,0
19,2021-10-03,7.480966e-13,1.2389871e-12,7.1997696e-13,1.08955869e-12,45625.61,0
20,2021-10-02,7.502791e-13,7.6331464e-13,7.0057497e-13,7.4768059e-13,12527.6,0
21,2021-10-01,7.2354066e-13,7.7916541e-13,7.1945823e-13,7.500714e-13,9553.56,0
22,2021-09-30,6.9999446e-13,7.5781098e-13,6.9761666e-13,7.2334887e-13,8894.65,0
23,2021-09-29,6.19769e-13,7.0536068e-13,6.19769e-13,7.0032566e-13,17757.03,0
24,2021-09-28,8.1e-13,8.9e-13,6.1849892e-13,6.2033119e-13,21887.84,0
25,2021-09-27,7.3e-13,8.9e-13,7e-13,8.1e-13,750180.52,0
26,2021-09-26,8.4e-13,9.1e-13,7.2e-13,7.3e-13,429444.53,0
27,2021-09-25,8.2e-13,1.05e-12,8.1e-13,8.4e-13,257996.8,0
