,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,8.6662068e-13,8.8979647e-13,8.460109e-13,8.6150896e-13,60718.58,0
1,2021-10-21,9.3237645e-13,1.01134073e-12,7.948449e-13,8.6583038e-13,102955.77,0
2,2021-10-20,1.28101258e-12,1.28799427e-12,8.9744479e-13,9.3154895e-13,463758.87,0
3,2021-10-19,1.93531364e-12,1.96617553e-12,3.0671059e-13,1.28048079e-12,536531.77,0
4,2021-10-18,1.97011677e-12,2.8427698e-12,1.88975404e-12,1.93438847e-12,414043.08,0
5,2021-10-17,1.50528815e-12,3.35896813e-12,1.4823671e-12,1.97031947e-12,304562.62,0
6,2021-10-16,1.0554809e-12,1.51330368e-12,1.0474064e-12,1.5069981e-12,71438.49,0
7,2021-10-15,9.5557743e-13,1.06075668e-12,9.4271169e-13,1.05596456e-12,54280.21,0
8,2021-10-14,8.5191088e-13,9.6564349e-13,8.3144074e-13,9.5546013e-13,43803.57,0
9,2021-10-13,7.353157e-13,8.5569953e-13,7.350857e-13,8.5143009e-13,23219.55,0
10,2021-10-12,6.7816727e-13,7.3778084e-13,6.3979499e-13,7.3428989e-13,18572.83,0
11,2021-10-11,6.8345234e-13,7.0907118e-13,6.6518573e-13,6.7888598e-13,22410.79,0
12,2021-10-10,7.990565e-13,8.1060851e-13,6.821964e-13,6.8437925e-13,29035.94,0
13,2021-10-09,7.619417e-13,8.2756265e-13,7.5713051e-13,7.9884339e-13,32180.76,0
14,2021-10-08,7.3039572e-13,7.6371557e-13,7.0549333e-13,7.617996e-13,74718.8,0
15,2021-10-07,6.129328e-13,9.4501956e-13,5.9309221e-13,7.3034527e-13,76142.67,0
16,2021-10-06,6.7847302e-13,6.797672e-13,6.0821782e-13,6.125556e-13,25159.5,0
17,2021-10-05,5.6544644e-13,6.8327016e-13,5.6281223e-13,6.7856467e-13,22225.78,0
18,2021-10-04,6.3479313e-13,6.3479798e-13,5.607915e-13,5.6529706e-13,29329.07,0
19,2021-10-03,5.2463304e-13,6.5540208e-13,4.8114855e-13,6.3496412e-13,25978.17,0
20,2021-10-02,5.1411242e-13,5.4195772e-13,4.9737216e-13,5.2434129e-13,15087.06,0
21,2021-10-01,4.7454557e-13,5.405588e-13,4.7454557e-13,5.1397009e-13,14419.67,0
22,2021-09-30,4.732941e-13,4.9260118e-13,4.6496352e-13,4.7441978e-13,8588.27,0
23,2021-09-29,4.2164352e-13,4.7837479e-13,4.2015315e-13,4.7351804e-13,9315.15,0
24,2021-09-28,4.5e-13,4.6e-13,4.1937707e-13,4.2202599e-13,13108.78,0
25,2021-09-27,4.9e-13,5e-13,4.5e-13,4.5e-13,21724.43,0
26,2021-09-26,6.1e-13,6.1e-13,4.8e-13,4.9e-13,20379.62,0
27,2021-09-25,6.2e-13,6.4e-13,6e-13,6.1e-13,15720.92,0
28,2021-09-24,7.4e-13,7.4e-13,5.3e-13,6.2e-13,25907.46,0
29,2021-09-23,8e-13,8.2e-13,7.1e-13,7.4e-13,52285.38,0
30,2021-09-22,7.4e-13,8.1e-13,7e-13,8e-13,118098.56,0
31,2021-09-21,8.7e-13,1.04e-12,7.3e-13,7.4e-13,408604.04,0
32,2021-09-20,6e-13,1.39e-12,5.1e-13,8.7e-13,415453.21,0
33,2021-09-19,2.4e-13,6.1e-13,2.4e-13,6.1e-13,78565.41,0
34,2021-09-18,2.5e-13,2.6e-13,2.4e-13,2.4e-13,9774.77,0
35,2021-09-17,2.8e-13,2.8e-13,2.5e-13,2.5e-13,7515.5,0
36,2021-09-16,3e-13,3e-13,2.7e-13,2.8e-13,6510.55,0
37,2021-09-15,3e-13,3e-13,2.9e-13,3e-13,7760.36,0
38,2021-09-14,2.9e-13,3.1e-13,2.9e-13,3e-13,14925.98,0
39,2021-09-13,0.0,3.3e-13,0.0,2.9e-13,12358.98,0
40,2021-09-12,0.0,0.0,0.0,0.0,5896.54,0
41,2021-09-11,0.0,0.0,0.0,0.0,8225.14,0
42,2021-09-10,0.0,0.0,0.0,0.0,14416.44,0
43,2021-09-09,0.0,0.0,0.0,0.0,17270.87,0
44,2021-09-08,0.0,0.0,0.0,0.0,13083.68,0
45,2021-09-07,0.0,0.0,0.0,0.0,17357.18,0
46,2021-09-06,0.0,0.0,0.0,0.0,16744.27,0
47,2021-09-05,0.0,0.0,0.0,0.0,11930.07,0
48,2021-09-04,0.0,0.0,0.0,0.0,23489.68,0
49,2021-09-03,0.0,0.0,0.0,0.0,38767.45,0
50,2021-09-02,0.0,0.0,0.0,0.0,41606.02,0
51,2021-09-01,0.0,0.0,0.0,0.0,34306.12,0
52,2021-08-31,0.0,0.0,0.0,0.0,21987.72,0
53,2021-08-30,0.0,0.0,0.0,0.0,27238.37,0
54,2021-08-29,0.0,0.0,0.0,0.0,42148.36,0
55,2021-08-28,0.0,0.0,0.0,0.0,63238.24,0
56,2021-08-27,0.0,0.0,0.0,0.0,70231.21,0
57,2021-08-26,0.0,0.0,0.0,0.0,66432.7,0
58,2021-08-25,0.0,0.0,0.0,0.0,78442.35,0
59,2021-08-24,0.0,0.0,0.0,0.0,147499.62,0
60,2021-08-23,0.0,0.0,0.0,0.0,212405.12,0
61,2021-08-22,0.0,0.0,0.0,0.0,334158.98,0
