,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,5.47466229559e-09,5.67983298919e-09,4.94629114344e-09,5.21217822947e-09,35198.21,1359843.37
1,2021-10-21,6.41048288087e-09,6.47416114505e-09,5.36676423379e-09,5.48140342204e-09,32673.4,1430083.5
2,2021-10-20,6.58429835699e-09,6.59089042762e-09,6.16097300186e-09,6.40479346991e-09,182113.95,1670993.49
3,2021-10-19,7.41868122564e-09,8.72980597123e-09,3.41417058896e-09,6.58156502896e-09,185664.14,1718692.29
4,2021-10-18,6.49469244956e-09,7.42715619008e-09,6.45448283297e-09,7.41712830629e-09,83609.27,1936889.05
5,2021-10-17,5.43968196071e-09,7.34161045619e-09,5.42070007136e-09,6.49536066647e-09,86667.66,1696181.12
6,2021-10-16,4.41358431314e-09,5.54369782499e-09,4.39801238528e-09,5.44586123797e-09,34565.87,1430461.18
7,2021-10-15,4.32360105605e-09,4.47735536385e-09,4.19033772035e-09,4.4156068046e-09,35005.03,1159844.85
8,2021-10-14,3.81154530793e-09,4.43754288859e-09,3.80838636207e-09,4.32307032808e-09,38503.19,1135365.43
9,2021-10-13,3.32526876937e-09,3.8256770515e-09,3.29272345905e-09,3.80939421794e-09,17009.32,1014471.3
10,2021-10-12,3.11680400894e-09,3.32210352324e-09,2.90402876399e-09,3.32062979534e-09,45945.18,861397.19
11,2021-10-11,2.89658690926e-09,3.32495247862e-09,2.75657674371e-09,3.1201071307e-09,90690.06,809380.05
12,2021-10-10,4.46613053807e-09,4.49645888552e-09,2.51515020646e-09,2.90051534309e-09,57849.41,752416.23
13,2021-10-09,4.6937290749e-09,4.7714943801e-09,4.42822552837e-09,4.46493944626e-09,17443.58,1153775.07
14,2021-10-08,5.11455257697e-09,5.18561515016e-09,4.68346635395e-09,4.69285367075e-09,22442.55,1212669.87
15,2021-10-07,5.60487160594e-09,5.60625551704e-09,5.09535987436e-09,5.11419923976e-09,54567.35,1321548.84
16,2021-10-06,5.60489703058e-09,6.43222476827e-09,5.28068811725e-09,5.60142236236e-09,96416.52,1444649.79
17,2021-10-05,4.16643836763e-09,6.29780090909e-09,4.03760562098e-09,5.60565416865e-09,67744.5,1445741.2
18,2021-10-04,4.6333174271e-09,4.63498066965e-09,4.104978343e-09,4.16533761133e-09,29985.76,1074272.52
19,2021-10-03,5.36695932653e-09,5.36695932653e-09,4.52762366027e-09,4.6345654752e-09,67819.42,1195289.98
20,2021-10-02,6.85636393212e-09,6.9844316965e-09,5.27678293986e-09,5.36397482551e-09,120677.04,1383410.25
21,2021-10-01,5.82143308952e-09,7.55978656294e-09,5.71131269196e-09,6.85446584724e-09,252103.54,1767819.31
22,2021-09-30,7.64713125271e-09,9.50795385622e-09,5.52969428388e-09,5.81989002956e-09,368791.77,1483531.11
23,2021-09-29,7.4779008532e-09,1.024230118663e-08,7.44229785355e-09,7.6507494917e-09,539502.01,1950230.13
24,2021-09-28,3.41082e-09,8.33521484224e-09,3.41082e-09,7.48468400019e-09,572579.11,1907898.86
25,2021-09-27,1.93959e-09,5.13178e-09,1.93959e-09,3.41029e-09,261310.02,0.0
