,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-21,2.921897706673371e-05,2.921897706673371e-05,2.709900128081033e-05,2.749069849589922e-05,1540610793.77,10853217803.39
1,2021-10-20,2.803358849679755e-05,2.944063346640856e-05,2.735703220926974e-05,2.927458822389675e-05,1676016338.97,11557490332.45
2,2021-10-19,2.864814606460384e-05,2.912498152210875e-05,2.755324198608511e-05,2.803320569767964e-05,1651861421.73,11067397476.63
3,2021-10-18,2.777387165461237e-05,2.950189521080969e-05,2.641865573049704e-05,2.869806323738969e-05,3919367323.12,11329880573.87
4,2021-10-17,2.569617961151262e-05,2.877623571338611e-05,2.387934210598161e-05,2.778996058843013e-05,2304858857.38,10971365280.47
5,2021-10-16,2.520872510702854e-05,2.652711255560307e-05,2.477117155676887e-05,2.569685701516509e-05,1871226739.74,10145016362.16
6,2021-10-15,2.741110470826153e-05,2.74730313643113e-05,2.343837302693433e-05,2.515929879098032e-05,4121246428.2,9932790525.49
7,2021-10-14,2.906346335128138e-05,2.980018771842674e-05,2.652316258387598e-05,2.741116248198925e-05,2727081947.53,10821817303.24
8,2021-10-13,2.905003690547181e-05,3.060089818478338e-05,2.779998961095792e-05,2.911285075991108e-05,3082220288.99,11493637028.61
9,2021-10-12,3.067060513325242e-05,3.155746225361791e-05,2.749065489062705e-05,2.904706196088012e-05,4868743618.59,11467663873.91
10,2021-10-11,2.616770854138558e-05,3.20076719384006e-05,2.589886153748352e-05,3.076617113553094e-05,7321688785.27,12146361299.63
11,2021-10-10,2.668060288703123e-05,2.771746733509701e-05,2.516501948993476e-05,2.622326860742087e-05,3597266431.27,10352841553.14
12,2021-10-09,2.724481341887331e-05,3.008557232484813e-05,2.446904984322685e-05,2.671286227850344e-05,6401062356.52,10546131176.11
13,2021-10-08,2.287028603333222e-05,2.948131294431928e-05,2.071915706538029e-05,2.735205465262278e-05,12326548369.15,10798481768.64
14,2021-10-07,2.792581630828502e-05,3.502139487768594e-05,2.075152869743367e-05,2.26407159828836e-05,18731843000.31,8938464107.18
15,2021-10-06,1.733708895997486e-05,2.886999451678551e-05,1.661091523324052e-05,2.796915462385441e-05,15233960302.37,11042110368.88
16,2021-10-05,1.343656146514653e-05,1.994443397445284e-05,1.212020538589003e-05,1.728866524582501e-05,9382762020.28,6825495884.4
17,2021-10-04,8.5503792529639e-06,1.482459308712611e-05,8.21324075974605e-06,1.349612283258681e-05,5113996411.18,5328215309.82
18,2021-10-03,7.8907611449361e-06,9.00582543696353e-06,7.66474581933085e-06,8.54114601385734e-06,627602336.99,3372010281.69
19,2021-10-02,7.69963709001524e-06,8.23969606297448e-06,7.43200246544355e-06,7.91103953355315e-06,320232217.56,3123246763.69
20,2021-10-01,7.19926865520073e-06,7.76622198047254e-06,7.16158301014646e-06,7.69905311928348e-06,316837934.97,3039555375.29
