,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,3.096454310675e-08,3.137527239153e-08,2.639157409481e-08,2.919305164483e-08,130468.96,0
1,2021-10-21,3.381196409077e-08,3.395612597896e-08,3.036309063812e-08,3.097006326777e-08,160262.94,0
2,2021-10-20,3.341685995328e-08,3.53054658897e-08,3.034218783652e-08,3.380497677245e-08,193218.41,0
3,2021-10-19,3.20073935383e-08,3.541885172598e-08,3.180062987418e-08,3.341476315994e-08,215362.73,0
4,2021-10-18,3.156069605767e-08,3.317308041275e-08,3.123181897664e-08,3.200326993704e-08,153070.48,0
5,2021-10-17,3.205663129024e-08,3.466473725114e-08,2.975181762433e-08,3.156157232159e-08,180210.25,0
6,2021-10-16,3.490144159092e-08,3.5058033966e-08,3.11643487551e-08,3.206782077592e-08,229309.99,0
7,2021-10-15,3.870716950253e-08,3.965675744903e-08,3.116126739191e-08,3.490399669024e-08,450149.22,0
8,2021-10-14,2.98570860965e-08,4.792237911012e-08,2.795332842467e-08,3.851020295775e-08,803330.97,0
9,2021-10-13,2.955194736055e-08,3.108972725834e-08,2.583062837878e-08,2.985410085906e-08,290928.32,0
10,2021-10-12,2.943387443214e-08,3.004975957063e-08,2.720814690548e-08,2.953991423609e-08,147678.83,0
11,2021-10-11,3.075734164962e-08,3.179762572482e-08,2.891217858796e-08,2.9436458529e-08,200430.91,0
12,2021-10-10,3.505140711149e-08,3.642413868178e-08,3.018258544802e-08,3.076994760821e-08,469807.42,0
13,2021-10-09,2.875633695079e-08,4.096736412763e-08,2.839685966056e-08,3.50534235729e-08,1015473.89,0
14,2021-10-08,2.944849623153e-08,3.124194744576e-08,2.787616930409e-08,2.875383235402e-08,191828.46,0
15,2021-10-07,3.292214137375e-08,3.606711213931e-08,2.87568819245e-08,2.9447515188e-08,386241.85,0
16,2021-10-06,3.086948475695e-08,3.67068578107e-08,2.837013550383e-08,3.292140780319e-08,483209.62,0
17,2021-10-05,3.211641420941e-08,3.534015216201e-08,2.978467079659e-08,3.087106467617e-08,454631.7,0
18,2021-10-04,2.391659796829e-08,3.511455461547e-08,2.28175744242e-08,3.211716701107e-08,388950.86,0
19,2021-10-03,2.534966581239e-08,2.534966581239e-08,2.284742719666e-08,2.391848925661e-08,92335.13,0
20,2021-10-02,2.514984188041e-08,2.695583336686e-08,2.108120271035e-08,2.535037726786e-08,101661.28,0
21,2021-10-01,2.177368845202e-08,2.947761711392e-08,2.07841920037e-08,2.514708982996e-08,119438.45,0
22,2021-09-30,2.080923001102e-08,2.281771414855e-08,2.010363065615e-08,2.177135576787e-08,91530.51,0
23,2021-09-29,1.904031221122e-08,2.134315139032e-08,1.888532859989e-08,2.081498647745e-08,98873.1,0
24,2021-09-28,1.998044e-08,1.998044e-08,1.809374e-08,1.904566913667e-08,99578.73,0
25,2021-09-27,2.066211e-08,2.14127e-08,1.642543e-08,1.997933e-08,98852.61,0
26,2021-09-26,2.287653e-08,2.298414e-08,1.820662e-08,2.066041e-08,171579.29,0
27,2021-09-25,2.410315e-08,2.480005e-08,2.278904e-08,2.287963e-08,110064.12,0
28,2021-09-24,2.753408e-08,2.934011e-08,2.196164e-08,2.409866e-08,110412.45,0
29,2021-09-23,2.726088e-08,2.918824e-08,2.595467e-08,2.753674e-08,96781.06,0
30,2021-09-22,2.427893e-08,2.779852e-08,2.427893e-08,2.7258e-08,107795.31,0
31,2021-09-21,2.488136e-08,2.670342e-08,2.167669e-08,2.4272e-08,120721.68,0
32,2021-09-20,3.05487e-08,3.160803e-08,2.26856e-08,2.489053e-08,154861.56,0
33,2021-09-19,3.173211e-08,3.316104e-08,2.976406e-08,3.056134e-08,115643.18,0
34,2021-09-18,3.296054e-08,3.444285e-08,2.991075e-08,3.173266e-08,142786.96,0
35,2021-09-17,3.020995e-08,3.749912e-08,2.984815e-08,3.296166e-08,317472.23,0
36,2021-09-16,3.002842e-08,3.047097e-08,2.796092e-08,3.020198e-08,193712.75,0
37,2021-09-15,2.943082e-08,3.017503e-08,2.584213e-08,3.002189e-08,111956.19,0
38,2021-09-14,2.927718e-08,3.072297e-08,2.819414e-08,2.94364e-08,127478.92,0
39,2021-09-13,3e-08,3e-08,2.767804e-08,2.928105e-08,120349.41,0
40,2021-09-12,3e-08,3e-08,3e-08,3e-08,140904.31,0
41,2021-09-11,3e-08,3e-08,3e-08,3e-08,165781.42,0
42,2021-09-10,3e-08,3e-08,3e-08,3e-08,201426.96,0
43,2021-09-09,3e-08,3e-08,3e-08,3e-08,227924.99,0
44,2021-09-08,3e-08,3e-08,1e-08,3e-08,1933231.77,0
45,2021-09-07,6e-08,6e-08,1e-08,3e-08,2275297.85,0
46,2021-09-06,6e-08,6e-08,4e-08,6e-08,225372.93,0
47,2021-09-05,6e-08,6e-08,3e-08,6e-08,298665.92,0
48,2021-09-04,6e-08,6e-08,6e-08,6e-08,453472.01,0
49,2021-09-03,7e-08,7e-08,6e-08,6e-08,524602.41,0
50,2021-09-02,7e-08,7e-08,6e-08,7e-08,368792.39,0
51,2021-09-01,7e-08,7e-08,6e-08,7e-08,376431.31,0
52,2021-08-31,7e-08,7e-08,2e-08,7e-08,330614.84,0
53,2021-08-30,8e-08,8e-08,2e-08,7e-08,530455.56,0
54,2021-08-29,8e-08,8e-08,8e-08,8e-08,754962.12,0
55,2021-08-28,9e-08,9e-08,4e-08,8e-08,802703.21,0
56,2021-08-27,7e-08,9e-08,7e-08,9e-08,537620.57,0
57,2021-08-26,8e-08,8e-08,7e-08,7e-08,268508.82,0
58,2021-08-25,7e-08,8e-08,7e-08,8e-08,368502.96,0
