,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,0.0019776492213075224,0.002138547080047234,0.0019099087225902082,0.001913788208742521,409978.57,1955281.05
1,2021-10-21,0.0020283406748875673,0.002126601053037835,0.001971190570706434,0.001977835624564139,334432.89,2020717.08
2,2021-10-20,0.0019246428300715643,0.002512246664506151,0.001858057955097267,0.0020477774306638034,1505704.8,2092175.29
3,2021-10-19,0.0019452777885189574,0.0021529251570449664,0.001890531619980685,0.0019246127069991801,628567.57,1966340.23
4,2021-10-18,0.0018059064960920135,0.001998562546141435,0.0017813162110556775,0.0019505094399633654,428350.23,1992798.43
5,2021-10-17,0.0017883584337503912,0.0018572212211848665,0.0017543827369463879,0.0018059339587647607,94857.66,1845088.41
6,2021-10-16,0.0017256893041447414,0.00188793793926346,0.0017149505792976073,0.0017933194882127584,323186.21,1832200.45
7,2021-10-15,0.0016577487488024872,0.001855056310181419,0.0016155273500265625,0.0017320411254393394,235399.33,1769593.51
8,2021-10-14,0.0016337321424437314,0.0016856360163218676,0.0015989492770855911,0.0016577746992276808,148237.27,1693716.91
9,2021-10-13,0.0016844881535227013,0.0017067338555307378,0.0015869372595674117,0.001633752074570934,80850.61,1669173.45
10,2021-10-12,0.00175612231746166,0.0017773962203137047,0.0016277019724904634,0.0016843576393744406,105247.46,1720876.2
11,2021-10-11,0.0017538481157319266,0.0017823374525896228,0.0017073619117875618,0.0017559670561107783,83566.73,1794038.18
12,2021-10-10,0.0019264144319483104,0.0019299726478488708,0.001751182655036209,0.00175377098075624,84215.63,1791794.49
13,2021-10-09,0.0019438218398839515,0.00198487427468246,0.0019126339661922527,0.0019265915080935849,70419.96,1968361.94
14,2021-10-08,0.002012467835734768,0.002033855566328094,0.00193679728309805,0.0019436797122958725,105408.23,1985820.63
15,2021-10-07,0.0019082500578520083,0.002090936983420995,0.0018405629636322237,0.0020124181313595146,205781.54,2056049.37
16,2021-10-06,0.0018747040319982828,0.0020722268519359254,0.0018130288634445944,0.0019084753285759889,430685.23,1949852.98
17,2021-10-05,0.0017548873913632215,0.0018865987297881335,0.0017007743048962564,0.0018747388147730753,188603.23,1915385.03
18,2021-10-04,0.0016773355552016833,0.001858296173322804,0.001671363306570509,0.0017549459758344126,327942.0,1792994.96
19,2021-10-03,0.0016522253418412723,0.0016775177911877363,0.0015841177021542069,0.0016774020715950718,132659.51,1713769.82
20,2021-10-02,0.0016791722308211231,0.0017032755262510351,0.0016149306845360284,0.0016524867001959293,96840.62,1688314.26
21,2021-10-01,0.0016152816424954118,0.0017208763932043216,0.0015930345183800768,0.0016790797153583953,140858.63,1715483.84
22,2021-09-30,0.00153535066931107,0.0016155326469534104,0.001520302485461689,0.001615289986668251,104312.0,1650311.09
23,2021-09-29,0.0014818707559628042,0.0015825848430360409,0.0014769302080513784,0.001535324356027116,114061.66,1568611.72
24,2021-09-28,0.00149296043877,0.0015872497697885484,0.0014763231801225567,0.0014763231801225567,196785.88,1508331.34
25,2021-09-27,0.0014327059801,0.00158261964344,0.00142462154193,0.00149915299263,124460.37,1531656.13
26,2021-09-26,0.0018690642077,0.0018690642077,0.00136057127633,0.00143443607002,456296.16,1465536.08
27,2021-09-25,0.0020619738065,0.00207442634049,0.00184938739331,0.00186419514804,151871.71,1904612.76
28,2021-09-24,0.00232179797256,0.00232179797256,0.00197739478245,0.00204551866897,488731.45,2089867.56
29,2021-09-23,0.00222255062994,0.00234253943581,0.00221842220541,0.00232189572674,94517.75,2372236.74
30,2021-09-22,0.00202643404111,0.00222706379002,0.00201746849082,0.00222257928577,266886.92,2270767.02
31,2021-09-21,0.00221661779277,0.00225488433982,0.00200255994951,0.00202304135284,165413.94,2066902.91
32,2021-09-20,0.00265257274519,0.00265364051632,0.00220330954595,0.00221699492376,327333.3,2265061.59
33,2021-09-19,0.0026963339575,0.00272756959972,0.0026409019954,0.00265230309828,117752.87,2709807.68
34,2021-09-18,0.00272012394459,0.00273126339909,0.00262509129494,0.0026963717052,161443.33,2754831.74
35,2021-09-17,0.00266861186091,0.00275879066442,0.00259003862825,0.0027199403653,143716.5,2778911.39
36,2021-09-16,0.00269520309247,0.00278567493801,0.00264435723697,0.00266836564988,199881.93,2726218.48
37,2021-09-15,0.00264612044846,0.00275418842313,0.00260126183959,0.00269485949448,163968.55,2753286.74
38,2021-09-14,0.00258090868991,0.00271238463283,0.00253936708241,0.00264485180058,158794.24,2702194.83
39,2021-09-13,0.00268692,0.00270481,0.00250734,0.00258120012198,277491.96,2637163.12
40,2021-09-12,0.00317784,0.00318901,0.00263395,0.00268505,2444264.17,2743259.55
41,2021-09-11,0.00232622,0.00312671,0.00231276,0.00312671,761873.86,3194503.85
42,2021-09-10,0.00257056,0.00263001,0.00228702,0.00230944,150239.22,2359511.33
43,2021-09-09,0.00244573,0.00275414,0.00241851,0.00257053,416681.87,2626261.14
44,2021-09-08,0.00257546,0.00263756,0.00230064,0.00242991,374205.43,2482590.59
45,2021-09-07,0.00347766,0.0035543,0.00252572,0.00257035,855095.99,2626075.99
46,2021-09-06,0.00322733,0.00356121,0.00320379,0.00345863,703917.86,3533619.02
47,2021-09-05,0.00303364,0.00325641,0.00301378,0.00322746,361529.81,3297430.38
48,2021-09-04,0.00308401,0.00310524,0.00301396,0.003044,356944.14,3110002.05
49,2021-09-03,0.00316937,0.00317528,0.0030574,0.00308374,264917.12,3150603.51
50,2021-09-02,0.00318687,0.00326452,0.0031463,0.00315934,477637.86,3227832.58
51,2021-09-01,0.00317769,0.00328057,0.00314313,0.0031781,364358.44,3247002.03
52,2021-08-31,0.00312885,0.00389834,0.00306503,0.00317906,1973076.33,3247982.66
53,2021-08-30,0.00318695,0.00323318,0.00311916,0.00312902,215959.56,3196856.25
54,2021-08-29,0.00327169,0.00333518,0.00314579,0.00318692,585582.91,3256012.47
55,2021-08-28,0.00328247,0.0033454,0.0031932,0.00327139,326746.24,3342313.92
56,2021-08-27,0.00306911,0.00333921,0.00301727,0.00328322,789602.96,3354402.41
57,2021-08-26,0.0030473,0.0033948,0.0030189,0.00306947,964201.0,3136021.19
58,2021-08-25,0.00298786,0.00316111,0.00294406,0.00304742,163501.57,3113493.19
59,2021-08-24,0.00318802,0.00323839,0.00295189,0.00298837,307729.54,3053158.63
60,2021-08-23,0.00314914,0.00329932,0.003132,0.00318802,343585.03,3257137.12
61,2021-08-22,0.00303981,0.00330567,0.00301272,0.00314916,582050.38,3217434.55
62,2021-08-21,0.00310721,0.00318098,0.00303024,0.0030374,289437.88,3103253.77
63,2021-08-20,0.00295451,0.0033504,0.00290942,0.00310775,959092.79,3175131.78
64,2021-08-19,0.00281507,0.00297397,0.00275971,0.0029555,310538.04,3019579.19
65,2021-08-18,0.0029195,0.00295009,0.00281035,0.00281471,241743.51,2875730.97
66,2021-08-17,0.0030994,0.00311652,0.00289738,0.00291061,210652.16,2973719.29
67,2021-08-16,0.00316197,0.00328305,0.00308786,0.00309886,261197.66,3166046.68
68,2021-08-15,0.00324345,0.00324861,0.00307144,0.00316532,380393.69,3233950.48
69,2021-08-14,0.00330922,0.00339363,0.00314558,0.00323693,571079.39,3307114.22
70,2021-08-13,0.00315381,0.00346953,0.00312555,0.003309,812894.94,3380740.91
71,2021-08-12,0.00388092,0.00399901,0.00306337,0.00315299,1986237.68,3221345.3
72,2021-08-11,0.00303807,0.00547495,0.00298311,0.00385462,7647340.25,3938196.57
73,2021-08-10,0.00308786,0.00312387,0.00285018,0.00303777,592064.9,3103629.46
74,2021-08-09,0.0031683,0.00343165,0.00301631,0.00308718,977527.86,3154109.56
75,2021-08-08,0.00399222,0.00437387,0.00306644,0.00316692,4624727.92,3235579.17
76,2021-08-07,0.00255483,0.00496653,0.00253673,0.00401312,8855911.65,4100131.88
77,2021-08-06,0.0022953,0.00266834,0.00228519,0.002554,527623.02,2609376.32
78,2021-08-05,0.00269599,0.0027108,0.00216274,0.00229361,949358.03,2343338.44
79,2021-08-04,0.00192359,0.00286598,0.00190523,0.00268805,1841609.68,2746334.24
80,2021-08-03,0.00189631,0.00193717,0.00186022,0.00191772,98716.38,1959296.03
81,2021-08-02,0.00191467,0.00199995,0.00186086,0.00189643,220463.62,1937549.08
82,2021-08-01,0.00191222,0.00205519,0.00189633,0.00191495,256272.7,1956464.74
83,2021-07-31,0.00187569,0.0019128,0.00185545,0.0019128,116542.33,1954267.92
84,2021-07-30,0.00184242,0.00187869,0.00177205,0.00187446,129394.64,1915102.3
85,2021-07-29,0.0018164,0.00186875,0.00177502,0.0018429,116776.92,1882852.02
86,2021-07-28,0.00176497,0.00183877,0.00176075,0.00181534,80671.04,1854701.57
87,2021-07-27,0.00173878,0.00179467,0.00168683,0.0017649,83072.5,1803166.19
88,2021-07-26,0.00174468,0.00183672,0.00170897,0.00173911,144297.3,1776811.22
89,2021-07-25,0.00173697,0.00177145,0.00172453,0.00174457,80581.07,1782398.45
90,2021-07-24,0.00175874,0.00178622,0.00149906,0.00173716,248846.45,1774822.44
91,2021-07-23,0.00175592,0.00178059,0.0017253,0.0017574,63148.71,1795501.85
92,2021-07-22,0.00177606,0.00185488,0.00174636,0.00175619,79171.42,1794267.45
93,2021-07-21,0.00162045,0.00189645,0.00159156,0.00177589,200637.76,1814392.65
94,2021-07-20,0.00173214,0.00174046,0.00155419,0.00162059,97449.37,1655730.13
95,2021-07-19,0.00180597,0.00180597,0.00171397,0.00173222,81300.33,1769779.4
96,2021-07-18,0.00177519,0.00183188,0.00175069,0.00180616,112052.15,1845314.77
97,2021-07-17,0.00175407,0.00184405,0.0017055,0.0017835,111869.85,1822164.14
98,2021-07-16,0.00176055,0.00197501,0.00172292,0.00175425,322610.71,1792285.02
99,2021-07-15,0.00184975,0.00185073,0.00172124,0.0017591,124655.99,1797236.09
100,2021-07-14,0.00184474,0.00191388,0.00177095,0.00184946,153046.24,1889562.98
101,2021-07-13,0.00195424,0.00198119,0.001848,0.001848,200820.89,1888069.53
102,2021-07-12,0.00198005,0.00209446,0.00192824,0.00195439,439070.83,1996766.06
103,2021-07-11,0.00199247,0.00257432,0.00190635,0.00197462,206517.97,2017434.29
104,2021-07-10,0.00196225,0.00258548,0.00196225,0.0019948,183510.0,2038046.56
105,2021-07-09,0.00197456,0.00203236,0.00191348,0.00196232,86920.0,2004864.09
106,2021-07-08,0.00206846,0.00221823,0.00194449,0.00197452,401226.99,2017325.43
107,2021-07-07,0.00209194,0.00214952,0.00206675,0.00206724,103840.42,2112056.75
108,2021-07-06,0.00207949,0.00216893,0.00204806,0.00209052,101214.2,2135848.26
109,2021-07-05,0.00211319,0.0021198,0.00199327,0.00207712,172623.92,2122155.43
110,2021-07-04,0.00219876,0.00223464,0.00210691,0.00211269,177410.97,2158499.07
111,2021-07-03,0.00209287,0.00221918,0.00206837,0.00219809,109991.02,2245743.53
112,2021-07-02,0.0019507,0.00213856,0.00186958,0.00208414,200000.93,2129326.03
113,2021-07-01,0.00193706,0.00198579,0.00186493,0.00195042,127792.65,1992708.14
114,2021-06-30,0.00199017,0.00200732,0.00180339,0.00193658,149849.11,1978567.87
115,2021-06-29,0.00193892,0.00207303,0.00191137,0.00199042,117835.65,2033578.02
116,2021-06-28,0.00191143,0.00198732,0.00187641,0.00193882,92483.77,1980854.72
117,2021-06-27,0.00183842,0.00192217,0.00183407,0.00191048,93736.18,1951900.38
118,2021-06-26,0.00188057,0.00189741,0.00177214,0.00183733,94380.78,1877162.94
119,2021-06-25,0.00196903,0.00200824,0.00182359,0.00187117,124467.15,1911733.8
120,2021-06-24,0.00193069,0.00199707,0.00184779,0.00196941,96025.99,2012109.19
121,2021-06-23,0.00181002,0.00287395,0.00178076,0.00197036,246492.44,2013083.67
122,2021-06-22,0.00188034,0.00222788,0.00175874,0.00180994,2248665.84,1849184.03
123,2021-06-21,0.00241391,0.00241849,0.00181912,0.00187415,182038.33,1914785.09
124,2021-06-20,0.00256559,0.00257801,0.00225751,0.00241452,157035.45,2466868.44
125,2021-06-19,0.00254894,0.00268256,0.00249971,0.00257745,172049.93,2633336.45
126,2021-06-18,0.00279583,0.00282538,0.00249717,0.0025495,122111.62,2604774.46
127,2021-06-17,0.00275391,0.00283695,0.00274584,0.00279067,86743.36,2851174.07
128,2021-06-16,0.00286964,0.00287886,0.00274165,0.00274994,101583.38,2809557.94
129,2021-06-15,0.00285228,0.00299868,0.00278633,0.00286337,205716.54,2925449.61
130,2021-06-14,0.0028558,0.00294023,0.00278662,0.00288585,133576.71,2948413.03
131,2021-06-13,0.00265887,0.00288166,0.00263429,0.00285546,115789.71,2917365.32
132,2021-06-12,0.00265789,0.00277488,0.00259371,0.00265844,167434.44,2716074.4
133,2021-06-11,0.00270562,0.00314752,0.00260986,0.0026584,878649.95,2716033.67
134,2021-06-10,0.00273862,0.00278023,0.00263948,0.00270496,174611.21,2763609.04
135,2021-06-09,0.00259848,0.00280596,0.00252855,0.00273875,173935.0,2798133.33
136,2021-06-08,0.0028536,0.00290239,0.00246363,0.00259929,245181.25,2655645.02
137,2021-06-07,0.00304227,0.00312936,0.00283974,0.00284556,151654.27,2907255.19
138,2021-06-06,0.00302213,0.00308912,0.00296513,0.00304029,133425.47,3106202.01
139,2021-06-05,0.00303483,0.00332679,0.00299668,0.00302261,2702348.09,3088145.27
140,2021-06-04,0.00317254,0.00318896,0.00292024,0.00303513,203857.76,3100931.95
141,2021-06-03,0.00302389,0.00320738,0.00301346,0.00317205,162240.01,3240822.02
142,2021-06-02,0.00296386,0.00334802,0.00294231,0.00302391,875839.85,3089467.83
143,2021-06-01,0.00301195,0.00309762,0.00294847,0.00296548,191268.42,3029774.9
144,2021-05-31,0.00287876,0.00338346,0.00284203,0.00301167,1404512.76,3076967.68
145,2021-05-30,0.00297784,0.00298934,0.00272035,0.00287974,224753.75,2942178.42
146,2021-05-29,0.0030727,0.00328195,0.00286325,0.00297764,405159.36,3042194.47
