,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,4.724860544354913e-05,5.169008135062434e-05,4.63836569655585e-05,5.15452673362747e-05,197.48,814734.47
1,2021-10-21,4.964899092040022e-05,5.136517823760798e-05,4.713655323635371e-05,4.729219596029421e-05,62.91,747509.6
2,2021-10-20,4.912435272567754e-05,5.429667334320552e-05,4.835526415545445e-05,4.963161587876142e-05,96.42,784486.92
3,2021-10-19,4.824475371246619e-05,5.854052290164072e-05,4.637179386909706e-05,4.908683977656854e-05,149.45,775876.09
4,2021-10-18,4.593263242556106e-05,5.034406921394865e-05,4.34615365161799e-05,4.824383992526612e-05,155.96,762551.47
5,2021-10-17,4.840921772815181e-05,4.998760312284624e-05,4.293739499794963e-05,4.593265169405339e-05,335.68,726020.38
6,2021-10-16,5.097981547960641e-05,5.165434733383901e-05,4.358733692867214e-05,4.842758018077535e-05,100.09,765455.7
7,2021-10-15,4.32284141827446e-05,5.193848476760718e-05,4.124524002883115e-05,5.098128488034525e-05,203.25,805820.05
8,2021-10-14,4.263079824057132e-05,5.50213768361971e-05,4.099006840298736e-05,4.324545800069151e-05,302.01,683546.08
9,2021-10-13,4.14714640753957e-05,4.453401979149145e-05,3.890955632529979e-05,4.264643237021894e-05,98.4,674077.76
10,2021-10-12,4.665077367514917e-05,4.752023526439126e-05,4.111772302500064e-05,4.14349012156457e-05,133.45,654928.07
11,2021-10-11,4.733601513348562e-05,5.241113677686864e-05,4.523732358793697e-05,4.663274868166873e-05,32.11,737086.25
12,2021-10-10,5.030442584880368e-05,5.241072840983532e-05,4.627117752109465e-05,4.737708509023431e-05,68.63,748851.37
13,2021-10-09,5.10319899595507e-05,5.168224011763338e-05,4.553071156753482e-05,5.02848984090151e-05,146.54,794812.83
14,2021-10-08,4.826836698157117e-05,5.098088358566325e-05,4.597693728053417e-05,5.096672092429523e-05,74.96,805589.85
15,2021-10-07,4.646347524373563e-05,5.060656945525125e-05,4.584640785722241e-05,4.825192273310434e-05,21.05,762679.23
16,2021-10-06,5.390623573588754e-05,5.398693696988864e-05,4.474832966222017e-05,4.652668483464753e-05,87.7,735409.78
17,2021-10-05,5.026204155557262e-05,5.404842180597191e-05,3.950006706468379e-05,5.38355197157133e-05,295.34,850934.64
18,2021-10-04,4.777078980826698e-05,5.250673935877438e-05,3.782613690584719e-05,5.02804362892146e-05,459.8,794742.31
19,2021-10-03,4.908508739258251e-05,5.169103798372203e-05,4.341242624059151e-05,4.777407451086269e-05,36.48,755126.27
20,2021-10-02,4.651701566766734e-05,5.00278761245123e-05,3.841005049799471e-05,4.910012937158432e-05,547.85,776086.15
21,2021-10-01,4.441291687786465e-05,4.843766528477717e-05,3.790923825070023e-05,4.651843830412515e-05,71.0,735279.44
