,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,0.01418029283361,0.01451650803085,0.01401075808258,0.01430534723289,285106.53,0
1,2021-10-21,0.01465570985258,0.01527599010586,0.01411249591659,0.01418137854426,282790.06,0
2,2021-10-20,0.01432014951127,0.01479034381521,0.01423813999639,0.01469012805053,292429.54,0
3,2021-10-19,0.01426033185037,0.01473652416946,0.01405917726961,0.01430435474057,284724.06,0
4,2021-10-18,0.01438289667247,0.01446179583781,0.013937095729,0.01426067626441,284047.85,0
5,2021-10-17,0.01404732253738,0.01477531063851,0.01377530072948,0.01439110606944,286966.56,0
6,2021-10-16,0.01426104653974,0.01453116845421,0.01392992623348,0.0140384606181,279765.21,0
7,2021-10-15,0.01448884669773,0.01459695427738,0.01357070393778,0.01426170346027,284385.77,0
8,2021-10-14,0.01423611032211,0.01484608368141,0.01421758638442,0.01448815557095,288750.63,0
9,2021-10-13,0.01439270106012,0.01473682752874,0.01380795957144,0.01424396119507,284044.66,0
10,2021-10-12,0.01367684903656,0.01457157091977,0.01305058844079,0.01443661165773,288070.35,0
11,2021-10-11,0.01483885416526,0.01560159097173,0.0136208242131,0.01370331526107,273197.68,0
12,2021-10-10,0.01682435051687,0.01736215280332,0.01475360289485,0.01485892275067,296095.95,0
13,2021-10-09,0.01395630355885,0.02930905684607,0.01394745449664,0.01672747246138,338087.3,0
14,2021-10-08,0.0136548065452,0.01436343424982,0.01338425396288,0.01395568043767,278313.45,0
15,2021-10-07,0.0130893035095,0.01387596115054,0.01269488349873,0.01364691547208,271980.43,0
16,2021-10-06,0.01275116443877,0.0133587671638,0.01203443158706,0.01310345868965,261265.7,0
17,2021-10-05,0.01147267998611,0.01283253519585,0.01147267998611,0.01275917492757,254592.05,0
18,2021-10-04,0.01089193673948,0.01167365619192,0.01055827926548,0.0114715216038,228794.28,0
19,2021-10-03,0.01064929843788,0.01103277123815,0.01051229826032,0.01088491593824,217356.22,0
20,2021-10-02,0.01098779560869,0.01102268621533,0.01043335662207,0.01063961753444,212189.06,0
21,2021-10-01,0.00961171165678,0.01100417507312,0.00958828632974,0.01099651846618,219432.82,0
22,2021-09-30,0.00923813297352,0.00962773397622,0.00915155714058,0.00961125985923,191665.19,0
23,2021-09-29,0.00914349760123,0.0095623690995,0.00908104405703,0.00923781950181,184054.23,0
24,2021-09-28,0.00936562863175,0.0096115780355,0.00912578090628,0.00914338661509,182436.04,0
25,2021-09-27,0.00938629858614,0.00978524631812,0.00932372112661,0.00936617863021,187131.77,0
26,2021-09-26,0.00947659232773,0.00991765622956,0.00898085240574,0.00938662238836,187180.98,0
27,2021-09-25,0.0097682772571,0.00990156730899,0.00928675748557,0.00949024130572,188952.77,0
28,2021-09-24,0.01030529107867,0.01032835758292,0.00913729077084,0.00976603516731,195022.33,0
29,2021-09-23,0.01027957808,0.01030413910812,0.00994528289966,0.01030023004015,205460.14,0
30,2021-09-22,0.00913751568578,0.01034156280961,0.00896443220122,0.01028014727565,205251.07,0
31,2021-09-21,0.00936877039957,0.00980364169805,0.0088736507782,0.00914632634982,182385.7,0
32,2021-09-20,0.01083528438528,0.0108565675338,0.00918845799246,0.00937828834733,187065.51,0
33,2021-09-19,0.0113453273845,0.01139121486448,0.01081376321509,0.01083635043647,216009.16,0
34,2021-09-18,0.01105785789669,0.01153389621623,0.0109365270058,0.01135368145642,226350.53,0
35,2021-09-17,0.01169437768953,0.01174293770663,0.01095313830405,0.01107883856171,220888.67,0
36,2021-09-16,0.0120325591118,0.01206803168659,0.01163960495679,0.0116866004366,233081.78,0
37,2021-09-15,0.01202168036329,0.01210252249564,0.01183354111214,0.01202561641863,239934.71,0
38,2021-09-14,0.01174433893652,0.01205839741218,0.01164648324106,0.01202136558995,240304.8,0
39,2021-09-13,0.01224023,0.01233948,0.01145511663863,0.01174211513813,234512.51,0
40,2021-09-12,0.01191811,0.01242055,0.01179434,0.01224091,244112.54,0
41,2021-09-11,0.01195467,0.01221853,0.01171557,0.01193181,237691.05,0
42,2021-09-10,0.01226859,0.01274779,0.01182762,0.01191814,237715.09,0
43,2021-09-09,0.01219861,0.01283658,0.0113491,0.01227011,244988.94,0
44,2021-09-08,0.01270368,0.01305427,0.01157304,0.01231582,245262.97,0
45,2021-09-07,0.01440672,0.01443713,0.01149949,0.01272938,252849.32,0
46,2021-09-06,0.01445559,0.01477864,0.01407327,0.01440672,286495.4,0
47,2021-09-05,0.01409527,0.01446269,0.0138917,0.01446023,288240.05,0
48,2021-09-04,0.014081,0.01429228,0.01396158,0.01408408,281089.34,0
49,2021-09-03,0.01418704,0.01455827,0.01380499,0.01408292,280798.43,0
50,2021-09-02,0.01459802,0.01484097,0.01412513,0.0142091,283407.93,0
51,2021-09-01,0.01386234,0.01466216,0.01359981,0.01459501,290411.67,0
52,2021-08-31,0.0138148,0.01425482,0.01359903,0.01385145,276047.0,0
53,2021-08-30,0.01441312,0.01452086,0.01368751,0.0138302,275401.88,0
54,2021-08-29,0.01462419,0.01500753,0.01421611,0.01441312,287727.32,0
55,2021-08-28,0.01543107,0.01554084,0.0144913,0.01459252,290834.89,0
56,2021-08-27,0.0144926,0.01543107,0.01383504,0.01543107,307256.47,0
57,2021-08-26,0.01543901,0.01547349,0.01431345,0.01446014,290072.84,0
58,2021-08-25,0.01488614,0.01547516,0.01441023,0.01543901,308060.43,0
59,2021-08-24,0.01618396,0.01627154,0.01479303,0.01490953,296636.09,0
