,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,96227.8409051481,98488.56905505953,90612.13085701763,92184.99930158237,78590.47,27839869.79
1,2021-10-21,100002.62202855815,102137.35425451101,94741.56826380029,96330.1808034828,27254.68,29091714.61
2,2021-10-20,92070.30820151532,100175.74110666699,90880.99191703019,100175.74110666699,50284.7,30253073.82
3,2021-10-19,93614.28282381078,98843.25629169779,90291.58317404383,92500.68937085547,50738.74,27935208.19
4,2021-10-18,97333.4176575389,98799.82633667042,87635.4094978434,93628.65875367213,163114.04,28275854.95
5,2021-10-17,103740.21173685415,105226.29525638033,93670.05411611551,97243.35775611155,34437.48,29367494.05
6,2021-10-16,101950.07889147902,106077.40003083309,100517.2604060905,103742.83795706887,3111.69,31330337.07
7,2021-10-15,100710.04231084287,103600.70837446288,98509.74444457883,101810.44412602804,1952.02,30746754.13
8,2021-10-14,105809.39314222327,110379.83022675532,99393.35646713397,100830.36337108891,612907.97,30450769.74
9,2021-10-13,102674.59135360841,105925.4534981302,100896.33013243701,105740.35908866888,19866.49,31933588.45
10,2021-10-12,104585.99276189228,104674.11220258845,99040.28248448878,102634.87318948393,27212.06,30995731.71
11,2021-10-11,106392.58667940495,111422.55667241062,103130.69948037784,104654.15193132467,145765.69,31605553.89
12,2021-10-10,109797.51838626582,113034.45279940483,105974.83634046803,106490.2964652418,303897.12,32160069.54
13,2021-10-09,118928.61028712346,119182.20617553379,106201.50860186676,109922.14865700786,713027.05,33196488.9
14,2021-10-08,120653.09840793376,123569.49926222187,118676.3601781532,118968.24049551488,86735.8,35928408.63
15,2021-10-07,120416.71290816816,124677.20924061413,117065.31342931507,120800.90072053066,3568.92,36481872.02
16,2021-10-06,113832.3777986686,121097.13505256394,106637.29981750729,120344.26240335176,130312.63,36343967.25
17,2021-10-05,121372.21573848517,122966.44717452965,110314.35724887789,114024.68420984184,340423.28,34435454.64
18,2021-10-04,128849.00551009038,129092.16344011435,120485.47342191549,121348.1055290538,267692.53,36647127.87
19,2021-10-03,116615.08630007147,132465.35338718406,115549.72818810833,128791.73307441187,261482.43,38895103.39
20,2021-10-02,94239.17341770277,118902.70507255087,91639.44746229991,116785.09028993268,660975.73,35269097.27
21,2021-10-01,82037.42006907148,94810.56569722707,79629.07872882197,94232.38633826091,202948.12,28458180.68
22,2021-09-30,74933.79120223406,83019.22563247671,74867.44331460977,82036.4808700316,9030.6,24775017.23
23,2021-09-29,78004.87677074011,81727.17856883162,73743.21625664808,75018.69790079258,113584.44,22655646.77
24,2021-09-28,86589.0967137713,87391.94292525909,77940.22071801123,78104.18612288857,32782.57,23587464.21
25,2021-09-27,86326.22377295703,97015.53379369067,85492.69281159081,86587.72183392002,63700.6,26149492.0
26,2021-09-26,79423.84000614373,87883.29688724689,74919.80963728265,86451.52914651441,111354.46,26108361.81
27,2021-09-25,80667.09215372769,81485.15182983383,78088.20380586143,79456.000506087,18276.0,23995712.16
28,2021-09-24,84941.05929944666,87174.00119678858,75818.18675199898,80639.60569784098,16807.02,24353160.93
29,2021-09-23,81602.58866531451,87217.58399048973,79371.70834945285,84931.53293668757,31828.2,25649322.95
30,2021-09-22,79722.85466368427,82809.64634511672,74674.30101819783,81605.82635238215,28155.93,24644959.56
31,2021-09-21,83690.4480238202,88121.74199974128,76852.55852003748,79714.93857901714,42644.08,24073911.46
32,2021-09-20,102397.57229806855,102563.37973378549,75833.33994124377,83690.4480238202,175666.08,25274515.31
33,2021-09-19,106003.89847167821,106238.89960836305,101706.30602139312,102392.02482610462,1990.51,30922391.5
34,2021-09-18,123106.14124228196,123295.19547436066,104079.22951328196,105863.38905648807,14759.07,31970743.5
35,2021-09-17,109675.91233049455,126324.44768290324,106710.09426833072,123099.96504847049,27419.06,37176189.45
36,2021-09-16,110718.61922208582,113106.2866982687,107758.7673104325,109759.53852171473,19984.29,33147380.64
37,2021-09-15,101485.23958323806,111789.45531286813,101485.23958323806,110681.78408886562,119365.16,33425898.8
38,2021-09-14,99633.3211412008,101782.59918725498,98083.2441575407,101457.97371176623,11817.51,30640308.07
39,2021-09-13,103433.50519731,104237.6997205,95681.3943756845,99629.65367303163,199.47,30088155.41
40,2021-09-12,97976.40764907,104561.1526624,91060.26068085,103450.86971619,67350.64,31242162.66
41,2021-09-11,90244.32866282,99266.55287282,90244.32866282,98012.67236257,93652.96,29599827.06
42,2021-09-10,84647.09608151,95129.93155462,82798.69340835,90240.1624035,180988.62,27252529.05
43,2021-09-09,99267.50090279,101575.51188587,83928.48839866,84730.75304238,141201.28,25588687.42
44,2021-09-08,104029.73387666,106664.22139893,94609.42982199,99871.53494152,31950.93,30161203.56
45,2021-09-07,118579.79911512,119515.26896025,100730.38992911,103936.42965414,31136.44,31388801.76
