,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-10-22,5.719633247467951e-05,5.719633247467951e-05,5.14011906517834e-05,5.218275158274394e-05,6.91,2550189.48
1,2021-10-21,5.87189183079325e-05,6.270754140391e-05,5.686317288977284e-05,5.720567037658456e-05,46.58,2795661.29
2,2021-10-20,6.343779700388205e-05,6.343779700388205e-05,5.861728746096222e-05,5.872602853174582e-05,13.87,2869961.73
3,2021-10-19,4.468205633370614e-05,6.357932274519539e-05,4.468205633370614e-05,6.343059368085846e-05,61.42,3099875.49
4,2021-10-18,5.662374586174027e-05,5.672429635504872e-05,4.036568404144148e-05,4.46820162368012e-05,21.21,2183625.9
5,2021-10-17,5.965806104358486e-05,5.987246044706454e-05,5.031713159577534e-05,5.663927417590036e-05,9.96,2767981.31
6,2021-10-16,4.989067054371638e-05,6.098346738004541e-05,4.782315459286786e-05,5.965136176857182e-05,760.04,2915183.09
7,2021-10-15,4.872153219397076e-05,5.153215563210629e-05,4.160477270223174e-05,4.991790916773485e-05,71.98,2439505.83
8,2021-10-14,4.819737502097058e-05,5.55165086099435e-05,4.688989002425833e-05,4.873249122052968e-05,15.96,2381574.04
9,2021-10-13,5.026228033376378e-05,5.067471281907763e-05,4.511947965057497e-05,4.82080961657275e-05,1.84,2355946.67
10,2021-10-12,4.771065846662439e-05,5.244632561914058e-05,4.686964652897945e-05,5.028174426334978e-05,0.7,2457286.58
11,2021-10-11,4.593481891884048e-05,5.458826254099781e-05,4.572265672902676e-05,4.769283846469924e-05,27.87,2330765.84
12,2021-10-10,4.562337799418404e-05,4.734707972302653e-05,4.5518973341246e-05,4.596691542355336e-05,0.96,2246419.38
13,2021-10-09,4.263457352959362e-05,4.603071111540252e-05,3.838316500418271e-05,4.561584834524792e-05,92.8,2229262.6
14,2021-10-08,3.712572720720148e-05,5.556103030090647e-05,3.663300610647544e-05,4.262374939003851e-05,520.55,2083037.67
15,2021-10-07,4.371252715478125e-05,4.41333538103537e-05,3.376775650086408e-05,3.712403347828042e-05,60.27,1814264.62
16,2021-10-06,3.966586555235816e-05,4.376750587481242e-05,3.894088763970313e-05,4.373967279960594e-05,1.8,2137573.24
17,2021-10-05,4.518343728244911e-05,4.533082944760964e-05,3.865394067299145e-05,3.964746869354582e-05,20.67,1937585.78
18,2021-10-04,4.431373069716122e-05,4.790313062345226e-05,3.942285354448241e-05,4.518098697345948e-05,38.99,2208010.77
19,2021-10-03,4.723419356677663e-05,4.723419356677663e-05,4.06214554702683e-05,4.430779771040133e-05,0.5,2165337.71
20,2021-10-02,3.781577744561775e-05,4.793239392429876e-05,3.706541536904086e-05,4.72532660952396e-05,75.67,2309283.79
21,2021-10-01,3.503217107664882e-05,3.831967685211965e-05,3.466664321617124e-05,3.783517143919875e-05,4.66,1849018.18
22,2021-09-30,2.743389672246335e-05,4.343370560038016e-05,2.735477468735146e-05,3.502229390835605e-05,332.3,1711551.86
23,2021-09-29,2.822906689044029e-05,4.108785720922358e-05,2.672089733816885e-05,2.741344761017578e-05,57.85,1339704.86
24,2021-09-28,2.93877362e-05,4.663586201e-05,2.813418932250878e-05,2.818553087252958e-05,50.12,1377436.84
25,2021-09-27,3.357135869e-05,4.3387688e-05,2.938592478e-05,2.941275002e-05,16.15,1437411.47
26,2021-09-26,3.353463926e-05,3.639723898e-05,3.130722098e-05,3.355066138e-05,0.71,1639632.66
27,2021-09-25,3.427159082e-05,3.589500507e-05,3.328864803e-05,3.353020348e-05,1.23,1638632.88
28,2021-09-24,3.456763471e-05,3.786724401e-05,3.193028067e-05,3.427354191e-05,21.26,1674960.09
29,2021-09-23,3.180893228e-05,3.62521725e-05,3.152453773e-05,3.457055583e-05,13.92,1689475.26
